
============================================================
Running Example: arctan
============================================================

Generated full domain data:
  Boundary points: 40,000
  Interior points: 1,000,000
  Test points: 10,000
Re-sampling enabled: ~1,000,000 interior points per epoch

Splitting data: 80% train, 20% validation
  BC: 32,000 train, 8,000 val
  Interior: 800,000 train, 200,000 val

Model: InfinityLaplacianPINN
  Hidden layers: [128, 128, 128, 128]
  Activation: tanh
  η: 1e-05 (normalized)
  Residual clipping: [-10.0, 10.0]
  Outlier removal: top 2.0%
  Parameters: 50,049

Training configuration:
  Boundary points (train): 32,000 -> 80 batches of 400
  Interior points (train): 1,000,000 -> 1000 batches of 1000
  Interior sampling: RE-SAMPLE each epoch
  Boundary points (val): 8,000
  Validation loss: BC only
  Steps per epoch: 1,000
  Total steps: 100,000
  Epochs: 100
  Loss balancing: AlphaPlateauScheduler
  LR scheduler: None (constant LR=1.0e-03)

/usr/local/lib/python3.12/dist-packages/torch/autograd/graph.py:824: UserWarning: Attempting to run cuBLAS, but there was no current CUDA context! Attempting to set the primary context... (Triggered internally at /opt/pytorch/pytorch/aten/src/ATen/cuda/CublasHandlePool.cpp:181.)
  return Variable._execution_engine.run_backward(  # Calls into the C++ engine to run the backward pass
Epoch  35/100 | Steps:  35000 | α=1e-03 | Loss: 3.1668e-05 | BC: 2.3512e-05 | PDE: 8.1562e-03 | Val: 5.9804e-06 | Test: 3.3612e-06 | 
Epoch  36/100 | Steps:  36000 | α=1e-03 | Loss: 2.6613e-05 | BC: 2.1355e-05 | PDE: 5.2583e-03 | Val: 3.6942e-05 | Test: 2.9107e-05 | 

>>> Alpha increased: 1e-03 → 1e-02 (BC=2.8544e-05) <<<
Epoch  37/100 | Steps:  37000 | α=1e-02 | Loss: 3.6800e-05 | BC: 2.8544e-05 | PDE: 8.2556e-03 | Val: 1.5622e-05 | Test: 2.0472e-05 |  *
Epoch  38/100 | Steps:  38000 | α=1e-02 | Loss: 7.3118e-04 | BC: 2.7015e-04 | PDE: 4.6104e-02 | Val: 4.4870e-05 | Test: 4.3052e-05 | 
Epoch  39/100 | Steps:  39000 | α=1e-02 | Loss: 5.4374e-05 | BC: 3.0216e-05 | PDE: 2.4158e-03 | Val: 1.2142e-05 | Test: 1.7005e-05 |  *
Epoch  40/100 | Steps:  40000 | α=1e-02 | Loss: 1.4348e-04 | BC: 7.2697e-05 | PDE: 7.0786e-03 | Val: 6.9618e-06 | Test: 6.1458e-06 |  *
Epoch  41/100 | Steps:  41000 | α=1e-02 | Loss: 1.6143e-04 | BC: 7.1613e-05 | PDE: 8.9813e-03 | Val: 4.8799e-07 | Test: 1.4453e-06 |  *
Epoch  42/100 | Steps:  42000 | α=1e-02 | Loss: 7.2155e-05 | BC: 3.1730e-05 | PDE: 4.0425e-03 | Val: 1.4282e-05 | Test: 1.6020e-05 | 
Epoch  43/100 | Steps:  43000 | α=1e-02 | Loss: 1.2739e-04 | BC: 6.0754e-05 | PDE: 6.6637e-03 | Val: 9.6206e-06 | Test: 8.7334e-06 | 
Epoch  44/100 | Steps:  44000 | α=1e-02 | Loss: 8.3346e-05 | BC: 4.3380e-05 | PDE: 3.9967e-03 | Val: 1.3980e-05 | Test: 1.8875e-05 | 
Epoch  45/100 | Steps:  45000 | α=1e-02 | Loss: 2.1681e-04 | BC: 1.0245e-04 | PDE: 1.1436e-02 | Val: 1.0220e-05 | Test: 6.4170e-06 | 
Epoch  46/100 | Steps:  46000 | α=1e-02 | Loss: 8.4153e-06 | BC: 4.6031e-06 | PDE: 3.8121e-04 | Val: 1.1311e-06 | Test: 5.5915e-07 | 
Epoch  47/100 | Steps:  47000 | α=1e-02 | Loss: 9.6294e-05 | BC: 5.2187e-05 | PDE: 4.4107e-03 | Val: 5.6795e-07 | Test: 5.8115e-07 | 
Epoch  48/100 | Steps:  48000 | α=1e-02 | Loss: 1.2291e-04 | BC: 6.0509e-05 | PDE: 6.2406e-03 | Val: 6.0756e-04 | Test: 2.3719e-04 | 
Epoch  49/100 | Steps:  49000 | α=1e-02 | Loss: 7.3248e-05 | BC: 4.1136e-05 | PDE: 3.2112e-03 | Val: 6.1333e-06 | Test: 2.5997e-06 | 
Epoch  50/100 | Steps:  50000 | α=1e-02 | Loss: 3.1843e-04 | BC: 1.8144e-04 | PDE: 1.3699e-02 | Val: 6.0636e-06 | Test: 7.6629e-06 | 

>>> Alpha increased: 1e-02 → 1e-01 (BC=1.9769e-05) <<<
Epoch  51/100 | Steps:  51000 | α=1e-01 | Loss: 3.5427e-05 | BC: 1.9769e-05 | PDE: 1.5657e-03 | Val: 3.8454e-06 | Test: 3.2192e-06 |  *
Epoch  52/100 | Steps:  52000 | α=1e-01 | Loss: 5.3511e-03 | BC: 1.4278e-03 | PDE: 3.9233e-02 | Val: 1.2736e-05 | Test: 5.3678e-06 | 
Epoch  53/100 | Steps:  53000 | α=1e-01 | Loss: 9.8040e-04 | BC: 2.4961e-04 | PDE: 7.3080e-03 | Val: 1.4037e-05 | Test: 3.2305e-06 | 
Epoch  54/100 | Steps:  54000 | α=1e-01 | Loss: 6.9836e-04 | BC: 1.4293e-04 | PDE: 5.5543e-03 | Val: 4.7377e-04 | Test: 3.3374e-04 | 
Epoch  55/100 | Steps:  55000 | α=1e-01 | Loss: 1.3082e-03 | BC: 2.9907e-04 | PDE: 1.0091e-02 | Val: 1.4085e-04 | Test: 1.5128e-04 | 
Epoch  56/100 | Steps:  56000 | α=1e-01 | Loss: 7.8050e-04 | BC: 1.5831e-04 | PDE: 6.2219e-03 | Val: 7.5268e-05 | Test: 5.3661e-05 | 
