
============================================================
Running Example: arctan
============================================================

Generated full domain data:
  Boundary points: 40,000
  Interior points: 1,000,000
  Test points: 10,000
Re-sampling enabled: ~1,000,000 interior points per epoch

Splitting data: 80% train, 20% validation
  BC: 32,000 train, 8,000 val
  Interior: 800,000 train, 200,000 val

Model: InfinityLaplacianPINN
  Hidden layers: [32, 32, 32, 32]
  Activation: tanh
  η: 1e-05 (normalized)
  Residual clipping: [-10.0, 10.0]
  Outlier removal: top 2.0%
  Parameters: 3,297

Training configuration:
  Boundary points (train): 32,000 -> 80 batches of 400
  Interior points (train): 1,000,000 -> 1000 batches of 1000
  Interior sampling: RE-SAMPLE each epoch
  Boundary points (val): 8,000
  Validation loss: BC only
  Steps per epoch: 1,000
  Total steps: 100,000
  Epochs: 100
  Loss balancing: AlphaPlateauScheduler
  LR scheduler: cosine (LR: 1.0e-03 -> 1.0e-05)

/usr/local/lib/python3.12/dist-packages/torch/autograd/graph.py:824: UserWarning: Attempting to run cuBLAS, but there was no current CUDA context! Attempting to set the primary context... (Triggered internally at /opt/pytorch/pytorch/aten/src/ATen/cuda/CublasHandlePool.cpp:181.)
  return Variable._execution_engine.run_backward(  # Calls into the C++ engine to run the backward pass
Epoch  33/100 | Steps:  33000 | α=1e-03 | Loss: 4.2821e-06 | BC: 3.6590e-06 | PDE: 6.2309e-04 | Val: 3.6726e-07 | Test: 3.3976e-06 | LR=7.7e-04
Epoch  34/100 | Steps:  34000 | α=1e-03 | Loss: 4.1401e-06 | BC: 3.6395e-06 | PDE: 5.0062e-04 | Val: 1.7088e-07 | Test: 4.0448e-06 | LR=7.6e-04
Epoch  35/100 | Steps:  35000 | α=1e-03 | Loss: 3.8028e-06 | BC: 3.1181e-06 | PDE: 6.8476e-04 | Val: 2.8724e-06 | Test: 6.0960e-06 | LR=7.4e-04

>>> Alpha increased: 1e-03 → 1e-02 (BC=3.1018e-06) <<<
Epoch  36/100 | Steps:  36000 | α=1e-02 | Loss: 3.6115e-06 | BC: 3.1018e-06 | PDE: 5.0972e-04 | Val: 1.0262e-06 | Test: 3.2897e-06 | LR=7.3e-04 *
Epoch  37/100 | Steps:  37000 | α=1e-02 | Loss: 5.8435e-05 | BC: 1.3550e-05 | PDE: 4.4885e-03 | Val: 1.1332e-06 | Test: 5.0675e-06 | LR=7.2e-04
Epoch  38/100 | Steps:  38000 | α=1e-02 | Loss: 7.1913e-06 | BC: 2.9498e-06 | PDE: 4.2415e-04 | Val: 2.3352e-06 | Test: 4.4659e-06 | LR=7.0e-04
Epoch  39/100 | Steps:  39000 | α=1e-02 | Loss: 1.1162e-05 | BC: 4.3140e-06 | PDE: 6.8484e-04 | Val: 3.3134e-06 | Test: 6.6027e-06 | LR=6.9e-04
Epoch  40/100 | Steps:  40000 | α=1e-02 | Loss: 1.4582e-05 | BC: 4.6358e-06 | PDE: 9.9465e-04 | Val: 9.6775e-07 | Test: 3.8611e-06 | LR=6.7e-04 *
Epoch  41/100 | Steps:  41000 | α=1e-02 | Loss: 7.9144e-06 | BC: 2.7622e-06 | PDE: 5.1522e-04 | Val: 1.8258e-06 | Test: 2.4881e-06 | LR=6.6e-04
Epoch  42/100 | Steps:  42000 | α=1e-02 | Loss: 1.1833e-05 | BC: 4.6118e-06 | PDE: 7.2216e-04 | Val: 3.3710e-06 | Test: 6.5532e-06 | LR=6.4e-04
Epoch  43/100 | Steps:  43000 | α=1e-02 | Loss: 1.1444e-05 | BC: 4.6507e-06 | PDE: 6.7937e-04 | Val: 2.4320e-07 | Test: 4.9068e-06 | LR=6.3e-04 *
Epoch  44/100 | Steps:  44000 | α=1e-02 | Loss: 6.5215e-06 | BC: 2.4060e-06 | PDE: 4.1155e-04 | Val: 7.0857e-06 | Test: 1.1928e-05 | LR=6.1e-04
