
============================================================
Running Example: absolute
============================================================

Generated full domain data:
  Boundary points: 40,000
  Interior points: 1,000,000
  Test points: 10,000
Re-sampling enabled: ~1,000,000 interior points per epoch

Splitting data: 80% train, 20% validation
  BC: 32,000 train, 8,000 val
  Interior: 800,000 train, 200,000 val

Model: DomainDecompositionPINN
  Hidden layers: [16, 16, 16, 16]
  Activation: tanh
  η: 1e-05 (normalized)
  Residual clipping: [-10.0, 10.0]
  Outlier removal: top 2.0%
  Parameters: 3,524

Training configuration:
  Boundary points (train): 32,000 -> 80 batches of 400
  Interior points (train): 1,000,000 -> 1000 batches of 1000
  Interior sampling: RE-SAMPLE each epoch
  Boundary points (val): 8,000
  Validation loss: BC only
  Steps per epoch: 1,000
  Total steps: 100,000
  Epochs: 100
  Loss balancing: AlphaPlateauScheduler
  LR scheduler: cosine (LR: 1.0e-03 -> 1.0e-05)

/usr/local/lib/python3.12/dist-packages/torch/autograd/graph.py:824: UserWarning: Attempting to run cuBLAS, but there was no current CUDA context! Attempting to set the primary context... (Triggered internally at /opt/pytorch/pytorch/aten/src/ATen/cuda/CublasHandlePool.cpp:181.)
  return Variable._execution_engine.run_backward(  # Calls into the C++ engine to run the backward pass
Epoch  30/100 | Steps:  30000 | α=1e-02 | Loss: 3.7430e-04 | BC: 1.1470e-04 | PDE: 1.4700e-02 | Intf: 1.1259e-04 | Val: 5.7110e-05 | Test: 9.5315e-05 | LR=8.1e-04
Epoch  31/100 | Steps:  31000 | α=1e-02 | Loss: 3.1942e-04 | BC: 1.2459e-04 | PDE: 7.6294e-03 | Intf: 1.1854e-04 | Val: 1.3972e-03 | Test: 1.2529e-03 | LR=8.0e-04
Epoch  32/100 | Steps:  32000 | α=1e-02 | Loss: 2.5777e-04 | BC: 1.0421e-04 | PDE: 3.6773e-03 | Intf: 1.1679e-04 | Val: 4.9349e-04 | Test: 4.1406e-04 | LR=7.8e-04
Epoch  33/100 | Steps:  33000 | α=1e-02 | Loss: 1.6039e-04 | BC: 6.5400e-05 | PDE: 2.0525e-03 | Intf: 7.4470e-05 | Val: 1.9320e-06 | Test: 1.9069e-05 | LR=7.7e-04 *
Epoch  34/100 | Steps:  34000 | α=1e-02 | Loss: 1.9842e-04 | BC: 8.5894e-05 | PDE: 1.6427e-03 | Intf: 9.6099e-05 | Val: 1.2224e-05 | Test: 2.7925e-05 | LR=7.6e-04
Epoch  35/100 | Steps:  35000 | α=1e-02 | Loss: 1.4412e-04 | BC: 5.9764e-05 | PDE: 1.4454e-03 | Intf: 6.9903e-05 | Val: 1.6803e-06 | Test: 1.7878e-05 | LR=7.4e-04 *
Epoch  36/100 | Steps:  36000 | α=1e-02 | Loss: 1.2241e-04 | BC: 5.1586e-05 | PDE: 1.3128e-03 | Intf: 5.7690e-05 | Val: 6.1996e-05 | Test: 7.0040e-05 | LR=7.3e-04
Epoch  37/100 | Steps:  37000 | α=1e-02 | Loss: 1.4543e-04 | BC: 6.1692e-05 | PDE: 1.2350e-03 | Intf: 7.1391e-05 | Val: 3.6351e-05 | Test: 4.7107e-05 | LR=7.2e-04
Epoch  38/100 | Steps:  38000 | α=1e-02 | Loss: 1.3104e-04 | BC: 5.4991e-05 | PDE: 1.1925e-03 | Intf: 6.4119e-05 | Val: 4.5410e-06 | Test: 1.9449e-05 | LR=7.0e-04
Epoch  39/100 | Steps:  39000 | α=1e-02 | Loss: 1.3889e-04 | BC: 5.9969e-05 | PDE: 1.1536e-03 | Intf: 6.7387e-05 | Val: 7.3200e-04 | Test: 6.4428e-04 | LR=6.9e-04
Epoch  40/100 | Steps:  40000 | α=1e-02 | Loss: 1.0984e-04 | BC: 4.5597e-05 | PDE: 1.1348e-03 | Intf: 5.2899e-05 | Val: 2.5772e-06 | Test: 1.6609e-05 | LR=6.7e-04

>>> Alpha increased: 1e-02 → 1e-01 (BC=4.4560e-05) <<<
Epoch  41/100 | Steps:  41000 | α=1e-01 | Loss: 1.0584e-04 | BC: 4.4560e-05 | PDE: 1.0746e-03 | Intf: 5.0536e-05 | Val: 1.8487e-06 | Test: 1.5449e-05 | LR=6.6e-04 *
Epoch  42/100 | Steps:  42000 | α=1e-01 | Loss: 1.9274e-04 | BC: 6.4108e-05 | PDE: 5.5567e-04 | Intf: 7.3065e-05 | Val: 5.0530e-05 | Test: 6.2430e-05 | LR=6.4e-04
Epoch  43/100 | Steps:  43000 | α=1e-01 | Loss: 1.3846e-04 | BC: 5.1061e-05 | PDE: 2.5405e-04 | Intf: 6.1991e-05 | Val: 1.3052e-04 | Test: 1.3158e-04 | LR=6.3e-04
Epoch  44/100 | Steps:  44000 | α=1e-01 | Loss: 1.2338e-04 | BC: 4.8268e-05 | PDE: 1.8487e-04 | Intf: 5.6628e-05 | Val: 5.3466e-04 | Test: 4.7011e-04 | LR=6.1e-04
Epoch  45/100 | Steps:  45000 | α=1e-01 | Loss: 1.1346e-04 | BC: 4.5865e-05 | PDE: 1.4290e-04 | Intf: 5.3306e-05 | Val: 9.0566e-07 | Test: 1.6420e-05 | LR=6.0e-04 *
Epoch  46/100 | Steps:  46000 | α=1e-01 | Loss: 9.9171e-05 | BC: 3.9996e-05 | PDE: 1.1253e-04 | Intf: 4.7923e-05 | Val: 2.0017e-05 | Test: 3.6895e-05 | LR=5.8e-04
Epoch  47/100 | Steps:  47000 | α=1e-01 | Loss: 9.4896e-05 | BC: 4.0041e-05 | PDE: 9.1930e-05 | Intf: 4.5662e-05 | Val: 1.5297e-06 | Test: 1.7376e-05 | LR=5.7e-04
Epoch  48/100 | Steps:  48000 | α=1e-01 | Loss: 8.2780e-05 | BC: 3.4595e-05 | PDE: 7.8761e-05 | Intf: 4.0310e-05 | Val: 8.9300e-07 | Test: 1.7087e-05 | LR=5.5e-04 *
Epoch  49/100 | Steps:  49000 | α=1e-01 | Loss: 7.4986e-05 | BC: 3.1656e-05 | PDE: 7.0874e-05 | Intf: 3.6242e-05 | Val: 7.5068e-05 | Test: 7.5594e-05 | LR=5.4e-04
Epoch  50/100 | Steps:  50000 | α=1e-01 | Loss: 8.8000e-05 | BC: 3.7702e-05 | PDE: 6.6697e-05 | Intf: 4.3629e-05 | Val: 8.0407e-07 | Test: 1.8327e-05 | LR=5.2e-04 *
Epoch  51/100 | Steps:  51000 | α=1e-01 | Loss: 6.9889e-05 | BC: 2.9705e-05 | PDE: 5.9410e-05 | Intf: 3.4243e-05 | Val: 7.9015e-07 | Test: 1.7412e-05 | LR=5.1e-04 *
Epoch  52/100 | Steps:  52000 | α=1e-01 | Loss: 6.6926e-05 | BC: 2.8750e-05 | PDE: 5.6144e-05 | Intf: 3.2561e-05 | Val: 7.1412e-07 | Test: 1.7676e-05 | LR=4.9e-04 *
