
============================================================
Running Example: absolute
============================================================

Generated full domain data:
  Boundary points: 40,000
  Interior points: 1,000,000
  Test points: 10,000
Re-sampling enabled: ~1,000,000 interior points per epoch

Splitting data: 80% train, 20% validation
  BC: 32,000 train, 8,000 val
  Interior: 800,000 train, 200,000 val

Model: InfinityLaplacianPINN
  Hidden layers: [128, 128, 128, 128]
  Activation: tanh
  η: 1e-05 (normalized)
  Residual clipping: [-10.0, 10.0]
  Outlier removal: top 2.0%
  Parameters: 50,049

Training configuration:
  Boundary points (train): 32,000 -> 80 batches of 400
  Interior points (train): 1,000,000 -> 1000 batches of 1000
  Interior sampling: RE-SAMPLE each epoch
  Boundary points (val): 8,000
  Validation loss: BC only
  Steps per epoch: 1,000
  Total steps: 100,000
  Epochs: 100
  Loss balancing: FixedAlphaSchedule
  LR scheduler: cosine (LR: 1.0e-03 -> 1.0e-05)

/usr/local/lib/python3.12/dist-packages/torch/autograd/graph.py:824: UserWarning: Attempting to run cuBLAS, but there was no current CUDA context! Attempting to set the primary context... (Triggered internally at /opt/pytorch/pytorch/aten/src/ATen/cuda/CublasHandlePool.cpp:181.)
  return Variable._execution_engine.run_backward(  # Calls into the C++ engine to run the backward pass
Epoch  43/100 | Steps:  43000 | α=1e-01 | Loss: 1.9134e-04 | BC: 7.3817e-05 | PDE: 1.1752e-03 | Val: 9.2584e-05 | Test: 1.1155e-03 | LR=6.3e-04
Epoch  44/100 | Steps:  44000 | α=1e-01 | Loss: 1.6090e-04 | BC: 6.0448e-05 | PDE: 1.0045e-03 | Val: 3.2662e-05 | Test: 9.4727e-04 | LR=6.1e-04
Epoch  45/100 | Steps:  45000 | α=1e-01 | Loss: 4.0437e-04 | BC: 1.4606e-04 | PDE: 2.5831e-03 | Val: 7.8918e-05 | Test: 1.1819e-03 | LR=6.0e-04
Epoch  46/100 | Steps:  46000 | α=1e-01 | Loss: 8.2850e-05 | BC: 3.1273e-05 | PDE: 5.1576e-04 | Val: 4.1837e-05 | Test: 9.1600e-04 | LR=5.8e-04
Epoch  47/100 | Steps:  47000 | α=1e-01 | Loss: 9.7440e-05 | BC: 3.5548e-05 | PDE: 6.1892e-04 | Val: 2.7225e-05 | Test: 8.6731e-04 | LR=5.7e-04
Epoch  48/100 | Steps:  48000 | α=1e-01 | Loss: 1.5622e-04 | BC: 5.5993e-05 | PDE: 1.0023e-03 | Val: 1.9570e-04 | Test: 1.4992e-03 | LR=5.5e-04
Epoch  49/100 | Steps:  49000 | α=1e-01 | Loss: 1.2702e-04 | BC: 4.5787e-05 | PDE: 8.1232e-04 | Val: 1.2577e-05 | Test: 8.4320e-04 | LR=5.4e-04
Epoch  50/100 | Steps:  50000 | α=1e-01 | Loss: 7.2447e-05 | BC: 2.6838e-05 | PDE: 4.5609e-04 | Val: 5.4618e-05 | Test: 8.6143e-04 | LR=5.2e-04
Epoch  51/100 | Steps:  51000 | α=1e-01 | Loss: 2.4807e-04 | BC: 9.6391e-05 | PDE: 1.5167e-03 | Val: 5.6288e-05 | Test: 9.7357e-04 | LR=5.1e-04
Epoch  52/100 | Steps:  52000 | α=1e-01 | Loss: 1.7613e-04 | BC: 6.7405e-05 | PDE: 1.0872e-03 | Val: 2.5094e-05 | Test: 8.5830e-04 | LR=4.9e-04
