
============================================================
Eikonal Equation |∇u|² = 1 (2D)
Case: origin | Domain: square
============================================================

  Interior: 1,000,000  |  Test: 10,000
  Boundary points: 1,100
  Re-sampling enabled: ~1,000,000 interior points per epoch
  BC re-sampling enabled: origin case with radius=0.1

  Splitting: 80% train, 20% val
  BC: 880 train, 220 val
  Interior: 800,000 train, 200,000 val

Model: EikonalPINN (input_dim=2)
  Hidden layers: [128, 128, 128, 128], activation: tanh
  Residual clipping: [-10.0, 10.0]
  Outlier removal: top 2.0%
  Positivity weight: 1.0
  Parameters: 50,049

Training configuration:
  Boundary points (train): 880 -> 3 batches of 400
  Interior points (train): 1,000,000 -> 1000 batches of 1000
  Interior sampling: RE-SAMPLE each epoch
  Boundary points (val): 220
  Validation loss: BC only
  Steps per epoch: 1,000
  Total steps: 100,000
  Epochs: 100
  Loss balancing: AlphaPlateauScheduler
  LR scheduler: cosine (LR: 1.0e-03 -> 1.0e-05)

/usr/local/lib/python3.12/dist-packages/torch/autograd/graph.py:824: UserWarning: Attempting to run cuBLAS, but there was no current CUDA context! Attempting to set the primary context... (Triggered internally at /opt/pytorch/pytorch/aten/src/ATen/cuda/CublasHandlePool.cpp:181.)
  return Variable._execution_engine.run_backward(  # Calls into the C++ engine to run the backward pass
Epoch  35/100 | Steps:  35000 | α=1e+00 | Loss: 3.1676e-05 | BC: 9.4751e-06 | PDE: 2.2201e-05 | Val: 3.1454e-05 | Test: 5.6556e-04 | LR=7.4e-04
Epoch  36/100 | Steps:  36000 | α=1e+00 | Loss: 2.5944e-05 | BC: 8.1693e-06 | PDE: 1.7775e-05 | Val: 3.9789e-06 | Test: 5.9987e-04 | LR=7.3e-04
Epoch  37/100 | Steps:  37000 | α=1e+00 | Loss: 2.9483e-05 | BC: 8.6984e-06 | PDE: 2.0785e-05 | Val: 4.4081e-06 | Test: 4.5476e-04 | LR=7.2e-04
Epoch  38/100 | Steps:  38000 | α=1e+00 | Loss: 2.2590e-05 | BC: 7.1191e-06 | PDE: 1.5471e-05 | Val: 1.7480e-05 | Test: 4.4824e-04 | LR=7.0e-04
Epoch  39/100 | Steps:  39000 | α=1e+00 | Loss: 2.7113e-05 | BC: 7.8870e-06 | PDE: 1.9226e-05 | Val: 2.9257e-06 | Test: 3.3901e-04 | LR=6.9e-04 *
Epoch  40/100 | Steps:  40000 | α=1e+00 | Loss: 2.0936e-05 | BC: 6.6530e-06 | PDE: 1.4282e-05 | Val: 2.9204e-06 | Test: 2.9530e-04 | LR=6.7e-04 *

>>> Alpha increased: 1e+00 → 1e+01 (BC=6.5848e-06) <<<
Epoch  41/100 | Steps:  41000 | α=1e+01 | Loss: 2.0867e-05 | BC: 6.5848e-06 | PDE: 1.4282e-05 | Val: 2.4580e-05 | Test: 2.6124e-04 | LR=6.6e-04 *
Epoch  42/100 | Steps:  42000 | α=1e+01 | Loss: 2.3173e-03 | BC: 7.4489e-05 | PDE: 2.2428e-04 | Val: 2.3571e-06 | Test: 6.5866e-05 | LR=6.4e-04 *
Epoch  43/100 | Steps:  43000 | α=1e+01 | Loss: 1.2623e-04 | BC: 4.8402e-06 | PDE: 1.2139e-05 | Val: 4.9779e-06 | Test: 8.7123e-05 | LR=6.3e-04
Epoch  44/100 | Steps:  44000 | α=1e+01 | Loss: 1.2658e-04 | BC: 5.4335e-06 | PDE: 1.2114e-05 | Val: 1.3298e-05 | Test: 6.4755e-05 | LR=6.1e-04
Epoch  45/100 | Steps:  45000 | α=1e+01 | Loss: 1.2024e-04 | BC: 5.3265e-06 | PDE: 1.1491e-05 | Val: 3.6644e-06 | Test: 6.0888e-05 | LR=6.0e-04
Epoch  46/100 | Steps:  46000 | α=1e+01 | Loss: 1.2306e-04 | BC: 5.5560e-06 | PDE: 1.1750e-05 | Val: 3.7820e-06 | Test: 4.3600e-05 | LR=5.8e-04
Epoch  47/100 | Steps:  47000 | α=1e+01 | Loss: 1.1313e-04 | BC: 5.4348e-06 | PDE: 1.0769e-05 | Val: 4.9640e-06 | Test: 2.2770e-05 | LR=5.7e-04
Epoch  48/100 | Steps:  48000 | α=1e+01 | Loss: 1.0899e-04 | BC: 6.0233e-06 | PDE: 1.0296e-05 | Val: 2.9187e-06 | Test: 9.4379e-06 | LR=5.5e-04
Epoch  49/100 | Steps:  49000 | α=1e+01 | Loss: 8.3500e-05 | BC: 3.8964e-06 | PDE: 7.9604e-06 | Val: 3.9757e-06 | Test: 9.4738e-06 | LR=5.4e-04
Epoch  50/100 | Steps:  50000 | α=1e+01 | Loss: 9.1826e-05 | BC: 4.4673e-06 | PDE: 8.7358e-06 | Val: 2.1757e-06 | Test: 7.3219e-06 | LR=5.2e-04 *
Epoch  51/100 | Steps:  51000 | α=1e+01 | Loss: 8.3484e-05 | BC: 4.5740e-06 | PDE: 7.8910e-06 | Val: 2.4669e-06 | Test: 4.5377e-06 | LR=5.1e-04
Epoch  52/100 | Steps:  52000 | α=1e+01 | Loss: 8.3187e-05 | BC: 4.4300e-06 | PDE: 7.8757e-06 | Val: 2.2384e-06 | Test: 3.2692e-06 | LR=4.9e-04
Epoch  53/100 | Steps:  53000 | α=1e+01 | Loss: 6.7037e-05 | BC: 3.8945e-06 | PDE: 6.3142e-06 | Val: 1.9718e-06 | Test: 4.6929e-06 | LR=4.7e-04 *
Epoch  54/100 | Steps:  54000 | α=1e+01 | Loss: 6.9677e-05 | BC: 3.7231e-06 | PDE: 6.5954e-06 | Val: 1.8112e-06 | Test: 2.6801e-06 | LR=4.6e-04 *
Epoch  55/100 | Steps:  55000 | α=1e+01 | Loss: 6.3348e-05 | BC: 3.7555e-06 | PDE: 5.9593e-06 | Val: 1.9384e-06 | Test: 4.6088e-06 | LR=4.4e-04
Epoch  56/100 | Steps:  56000 | α=1e+01 | Loss: 5.4996e-05 | BC: 3.1696e-06 | PDE: 5.1826e-06 | Val: 2.4607e-06 | Test: 1.7349e-06 | LR=4.3e-04
Epoch  57/100 | Steps:  57000 | α=1e+01 | Loss: 5.8257e-05 | BC: 3.3748e-06 | PDE: 5.4882e-06 | Val: 1.9075e-06 | Test: 1.7083e-06 | LR=4.1e-04
Epoch  58/100 | Steps:  58000 | α=1e+01 | Loss: 5.0192e-05 | BC: 3.3028e-06 | PDE: 4.6889e-06 | Val: 2.6568e-06 | Test: 5.9907e-06 | LR=4.0e-04
Epoch  59/100 | Steps:  59000 | α=1e+01 | Loss: 4.3440e-05 | BC: 2.8329e-06 | PDE: 4.0607e-06 | Val: 2.7585e-06 | Test: 6.1044e-06 | LR=3.8e-04
