
============================================================
Running Example: aronsson_disc
============================================================

Generated full disc domain data:
  Boundary points: 10,000
  Interior points: 783,764
  Test points: 7,668
Re-sampling enabled: ~783,764 interior points per epoch

Splitting data: 80% train, 20% validation
  BC: 8,000 train, 2,000 val
  Interior: 627,011 train, 156,753 val

Model: InfinityLaplacianPINN
  Hidden layers: [128, 128, 128, 128]
  Activation: tanh
  η: 1e-05 (normalized)
  Residual clipping: [-10.0, 10.0]
  Outlier removal: top 2.0%
  Parameters: 50,049

Training configuration:
  Boundary points (train): 8,000 -> 20 batches of 400
  Interior points (train): 783,764 -> 784 batches of 1000
  Interior sampling: RE-SAMPLE each epoch
  Boundary points (val): 2,000
  Validation loss: BC only
  Steps per epoch: 784
  Total steps: 78,400
  Epochs: 100
  Loss balancing: AlphaPlateauScheduler
  LR scheduler: None (constant LR=1.0e-03)

/usr/local/lib/python3.12/dist-packages/torch/autograd/graph.py:824: UserWarning: Attempting to run cuBLAS, but there was no current CUDA context! Attempting to set the primary context... (Triggered internally at /opt/pytorch/pytorch/aten/src/ATen/cuda/CublasHandlePool.cpp:181.)
  return Variable._execution_engine.run_backward(  # Calls into the C++ engine to run the backward pass
Epoch  46/100 | Steps:  36064 | α=1e-01 | Loss: 5.1402e-04 | BC: 1.5559e-04 | PDE: 3.5844e-03 | Val: 3.7692e-04 | Test: 3.0560e-04 | 
Epoch  47/100 | Steps:  36848 | α=1e-01 | Loss: 2.1610e-04 | BC: 5.6901e-05 | PDE: 1.5920e-03 | Val: 2.4902e-05 | Test: 1.9616e-05 | 
Epoch  48/100 | Steps:  37632 | α=1e-01 | Loss: 2.1214e-04 | BC: 5.8745e-05 | PDE: 1.5340e-03 | Val: 3.0448e-05 | Test: 2.7825e-05 | 
Epoch  49/100 | Steps:  38416 | α=1e-01 | Loss: 6.2644e-04 | BC: 1.9358e-04 | PDE: 4.3286e-03 | Val: 3.2430e-04 | Test: 2.3389e-04 | 
Epoch  50/100 | Steps:  39200 | α=1e-01 | Loss: 1.8209e-04 | BC: 3.7074e-05 | PDE: 1.4501e-03 | Val: 1.2887e-04 | Test: 1.0482e-04 | 
Epoch  51/100 | Steps:  39984 | α=1e-01 | Loss: 1.7955e-04 | BC: 4.9766e-05 | PDE: 1.2979e-03 | Val: 2.0649e-05 | Test: 1.6220e-05 | 
Epoch  52/100 | Steps:  40768 | α=1e-01 | Loss: 2.0435e-04 | BC: 6.3348e-05 | PDE: 1.4101e-03 | Val: 1.3237e-04 | Test: 1.1574e-04 | 
Epoch  53/100 | Steps:  41552 | α=1e-01 | Loss: 1.7320e-04 | BC: 5.3561e-05 | PDE: 1.1964e-03 | Val: 7.9165e-05 | Test: 6.1090e-05 | 
Epoch  54/100 | Steps:  42336 | α=1e-01 | Loss: 1.6995e-04 | BC: 5.1054e-05 | PDE: 1.1889e-03 | Val: 3.6437e-05 | Test: 2.3705e-05 | 
Epoch  55/100 | Steps:  43120 | α=1e-01 | Loss: 2.4577e-04 | BC: 7.6114e-05 | PDE: 1.6966e-03 | Val: 9.9718e-05 | Test: 6.5387e-05 | 
Epoch  56/100 | Steps:  43904 | α=1e-01 | Loss: 1.8317e-04 | BC: 5.3603e-05 | PDE: 1.2957e-03 | Val: 3.7478e-05 | Test: 2.4021e-05 | 
Epoch  57/100 | Steps:  44688 | α=1e-01 | Loss: 2.0352e-04 | BC: 6.8719e-05 | PDE: 1.3480e-03 | Val: 5.2757e-05 | Test: 3.3856e-05 | 
Epoch  58/100 | Steps:  45472 | α=1e-01 | Loss: 4.4501e-04 | BC: 1.3747e-04 | PDE: 3.0754e-03 | Val: 1.1870e-04 | Test: 1.2865e-04 | 
Epoch  59/100 | Steps:  46256 | α=1e-01 | Loss: 7.7439e-05 | BC: 1.9319e-05 | PDE: 5.8120e-04 | Val: 1.8213e-05 | Test: 7.0594e-06 | 
Epoch  60/100 | Steps:  47040 | α=1e-01 | Loss: 1.1211e-04 | BC: 4.1317e-05 | PDE: 7.0794e-04 | Val: 1.5186e-05 | Test: 1.7684e-05 |  *
Epoch  61/100 | Steps:  47824 | α=1e-01 | Loss: 1.3745e-04 | BC: 4.5974e-05 | PDE: 9.1476e-04 | Val: 1.2879e-04 | Test: 1.4598e-04 | 
Epoch  62/100 | Steps:  48608 | α=1e-01 | Loss: 1.5831e-04 | BC: 4.8964e-05 | PDE: 1.0935e-03 | Val: 1.8987e-05 | Test: 1.0379e-05 | 
Epoch  63/100 | Steps:  49392 | α=1e-01 | Loss: 3.5736e-03 | BC: 1.1892e-03 | PDE: 2.3844e-02 | Val: 9.4443e-05 | Test: 3.1621e-04 | 
Epoch  64/100 | Steps:  50176 | α=1e-01 | Loss: 2.0056e-04 | BC: 5.3376e-05 | PDE: 1.4718e-03 | Val: 8.6973e-06 | Test: 2.0334e-05 |  *
Epoch  65/100 | Steps:  50960 | α=1e-01 | Loss: 1.2421e-04 | BC: 3.3837e-05 | PDE: 9.0376e-04 | Val: 4.7673e-06 | Test: 1.0339e-05 |  *
Epoch  66/100 | Steps:  51744 | α=1e-01 | Loss: 7.9755e-05 | BC: 2.7704e-05 | PDE: 5.2051e-04 | Val: 4.4822e-05 | Test: 2.7532e-05 | 
Epoch  67/100 | Steps:  52528 | α=1e-01 | Loss: 5.7453e-05 | BC: 2.7319e-05 | PDE: 3.0134e-04 | Val: 1.0647e-05 | Test: 6.1829e-06 | 
Epoch  68/100 | Steps:  53312 | α=1e-01 | Loss: 7.3648e-05 | BC: 3.2645e-05 | PDE: 4.1004e-04 | Val: 6.4262e-05 | Test: 3.9532e-05 | 
Epoch  69/100 | Steps:  54096 | α=1e-01 | Loss: 1.4704e-04 | BC: 5.4613e-05 | PDE: 9.2424e-04 | Val: 7.1892e-05 | Test: 4.9199e-05 | 
Epoch  70/100 | Steps:  54880 | α=1e-01 | Loss: 5.7498e-05 | BC: 2.2143e-05 | PDE: 3.5355e-04 | Val: 8.5891e-06 | Test: 3.1590e-06 | 
Epoch  71/100 | Steps:  55664 | α=1e-01 | Loss: 5.1582e-04 | BC: 1.5989e-04 | PDE: 3.5593e-03 | Val: 2.9385e-06 | Test: 2.3726e-06 |  *
Epoch  72/100 | Steps:  56448 | α=1e-01 | Loss: 3.3732e-05 | BC: 1.0238e-05 | PDE: 2.3494e-04 | Val: 3.2119e-06 | Test: 1.6022e-06 | 
Epoch  73/100 | Steps:  57232 | α=1e-01 | Loss: 6.2598e-05 | BC: 2.7846e-05 | PDE: 3.4752e-04 | Val: 7.1772e-05 | Test: 5.5371e-05 | 
Epoch  74/100 | Steps:  58016 | α=1e-01 | Loss: 8.1136e-05 | BC: 3.1471e-05 | PDE: 4.9665e-04 | Val: 8.4577e-05 | Test: 4.3960e-05 | 
Epoch  75/100 | Steps:  58800 | α=1e-01 | Loss: 5.7052e-04 | BC: 1.8862e-04 | PDE: 3.8190e-03 | Val: 3.0069e-06 | Test: 1.5830e-06 | 
Epoch  76/100 | Steps:  59584 | α=1e-01 | Loss: 2.2297e-05 | BC: 4.6014e-06 | PDE: 1.7695e-04 | Val: 2.0951e-06 | Test: 2.6891e-06 |  *
Epoch  77/100 | Steps:  60368 | α=1e-01 | Loss: 3.8167e-05 | BC: 2.0158e-05 | PDE: 1.8008e-04 | Val: 2.5299e-06 | Test: 1.7739e-06 | 
Epoch  78/100 | Steps:  61152 | α=1e-01 | Loss: 4.4855e-03 | BC: 1.0738e-03 | PDE: 3.4117e-02 | Val: 3.3210e-03 | Test: 8.2685e-03 | 
Epoch  79/100 | Steps:  61936 | α=1e-01 | Loss: 1.3453e-03 | BC: 3.6440e-04 | PDE: 9.8094e-03 | Val: 7.1872e-05 | Test: 1.2623e-04 | 
Epoch  80/100 | Steps:  62720 | α=1e-01 | Loss: 2.0237e-04 | BC: 3.7081e-05 | PDE: 1.6529e-03 | Val: 6.9119e-06 | Test: 1.1046e-05 | 
Epoch  81/100 | Steps:  63504 | α=1e-01 | Loss: 6.8596e-05 | BC: 2.2420e-05 | PDE: 4.6176e-04 | Val: 6.7050e-06 | Test: 3.5606e-06 | 
Epoch  82/100 | Steps:  64288 | α=1e-01 | Loss: 6.0597e-05 | BC: 2.9708e-05 | PDE: 3.0889e-04 | Val: 6.4940e-06 | Test: 8.2777e-06 | 
Epoch  83/100 | Steps:  65072 | α=1e-01 | Loss: 7.6038e-05 | BC: 3.6200e-05 | PDE: 3.9838e-04 | Val: 1.5427e-05 | Test: 1.4514e-05 | 
Epoch  84/100 | Steps:  65856 | α=1e-01 | Loss: 7.2532e-05 | BC: 3.1075e-05 | PDE: 4.1457e-04 | Val: 4.6295e-05 | Test: 2.2485e-05 | 
Epoch  85/100 | Steps:  66640 | α=1e-01 | Loss: 7.9124e-05 | BC: 3.3818e-05 | PDE: 4.5306e-04 | Val: 1.8024e-06 | Test: 2.3583e-06 |  *
Epoch  86/100 | Steps:  67424 | α=1e-01 | Loss: 7.4510e-05 | BC: 3.1908e-05 | PDE: 4.2602e-04 | Val: 8.8228e-05 | Test: 1.0054e-04 | 
Epoch  87/100 | Steps:  68208 | α=1e-01 | Loss: 1.8231e-04 | BC: 5.9690e-05 | PDE: 1.2262e-03 | Val: 8.7258e-06 | Test: 6.6592e-06 | 
Epoch  88/100 | Steps:  68992 | α=1e-01 | Loss: 4.4152e-05 | BC: 2.0594e-05 | PDE: 2.3557e-04 | Val: 3.3596e-05 | Test: 2.6827e-05 | 
