
============================================================
p-Laplacian Aronsson Example
============================================================

Generated full domain data:
  Boundary points: 40,000
  Interior points: 1,000,000
  Test points: 10,000
Re-sampling enabled: ~1,000,000 interior points per epoch

Splitting data: 80% train, 20% validation
  BC: 32,000 train, 8,000 val
  Interior: 800,000 train, 200,000 val

Model: PLaplacianPINN on Square [-1,1]²
  Hidden layers: [128, 128, 128, 128], activation: tanh
  η=1e-05, clip_residual=100.0, clip_grad_norm=1.0
  Outlier removal: top 2.0%
  Parameters: 50,049

Training configuration:
  Boundary points (train): 32,000 -> 80 batches of 400
  Interior points (train): 1,000,000 -> 1000 batches of 1000
  Interior sampling: RE-SAMPLE each epoch
  Boundary points (val): 8,000
  Validation loss: BC only
  Steps per epoch: 1,000
  Total steps: 100,000
  Epochs: 100
  Loss balancing: AlphaPlateauScheduler
  LR scheduler: cosine (LR: 1.0e-03 -> 1.0e-05)

/usr/local/lib/python3.12/dist-packages/torch/autograd/graph.py:824: UserWarning: Attempting to run cuBLAS, but there was no current CUDA context! Attempting to set the primary context... (Triggered internally at /opt/pytorch/pytorch/aten/src/ATen/cuda/CublasHandlePool.cpp:181.)
  return Variable._execution_engine.run_backward(  # Calls into the C++ engine to run the backward pass
Epoch  35/100 | Steps:  35000 | α=1e-04 | Loss: 2.5263e-05 | BC: 2.2170e-05 | PDE: 3.0932e-02 | Val: 4.4284e-05 | Test: 4.7039e-04 | LR=7.4e-04
Epoch  36/100 | Steps:  36000 | α=1e-04 | Loss: 2.4328e-05 | BC: 2.1479e-05 | PDE: 2.8490e-02 | Val: 9.9287e-06 | Test: 4.5947e-04 | LR=7.3e-04
Epoch  37/100 | Steps:  37000 | α=1e-04 | Loss: 2.5887e-05 | BC: 2.2867e-05 | PDE: 3.0199e-02 | Val: 5.9107e-05 | Test: 4.7045e-04 | LR=7.2e-04
Epoch  38/100 | Steps:  38000 | α=1e-04 | Loss: 2.1281e-05 | BC: 1.8656e-05 | PDE: 2.6251e-02 | Val: 3.1708e-06 | Test: 4.4245e-04 | LR=7.0e-04
Epoch  39/100 | Steps:  39000 | α=1e-04 | Loss: 2.1663e-05 | BC: 1.9179e-05 | PDE: 2.4847e-02 | Val: 4.1362e-05 | Test: 4.3005e-04 | LR=6.9e-04
Epoch  40/100 | Steps:  40000 | α=1e-04 | Loss: 1.9764e-05 | BC: 1.7448e-05 | PDE: 2.3162e-02 | Val: 4.2945e-06 | Test: 4.1234e-04 | LR=6.7e-04
Epoch  41/100 | Steps:  41000 | α=1e-04 | Loss: 1.8353e-05 | BC: 1.6114e-05 | PDE: 2.2390e-02 | Val: 3.7972e-06 | Test: 4.4119e-04 | LR=6.6e-04
Epoch  42/100 | Steps:  42000 | α=1e-04 | Loss: 1.8675e-05 | BC: 1.6465e-05 | PDE: 2.2102e-02 | Val: 5.6853e-06 | Test: 4.1583e-04 | LR=6.4e-04
Epoch  43/100 | Steps:  43000 | α=1e-04 | Loss: 1.6514e-05 | BC: 1.4575e-05 | PDE: 1.9390e-02 | Val: 6.5738e-06 | Test: 4.2549e-04 | LR=6.3e-04
Epoch  44/100 | Steps:  44000 | α=1e-04 | Loss: 1.7181e-05 | BC: 1.5082e-05 | PDE: 2.0994e-02 | Val: 2.1907e-05 | Test: 4.5033e-04 | LR=6.1e-04
Epoch  45/100 | Steps:  45000 | α=1e-04 | Loss: 1.4992e-05 | BC: 1.3207e-05 | PDE: 1.7854e-02 | Val: 6.8746e-05 | Test: 5.1787e-04 | LR=6.0e-04
Epoch  46/100 | Steps:  46000 | α=1e-04 | Loss: 1.1538e-05 | BC: 9.8758e-06 | PDE: 1.6618e-02 | Val: 1.2737e-06 | Test: 4.4057e-04 | LR=5.8e-04 *
Epoch  47/100 | Steps:  47000 | α=1e-04 | Loss: 1.3677e-05 | BC: 1.1982e-05 | PDE: 1.6955e-02 | Val: 3.3674e-06 | Test: 4.4337e-04 | LR=5.7e-04
Epoch  48/100 | Steps:  48000 | α=1e-04 | Loss: 1.1323e-05 | BC: 9.7689e-06 | PDE: 1.5546e-02 | Val: 1.9244e-05 | Test: 4.0390e-04 | LR=5.5e-04
Epoch  49/100 | Steps:  49000 | α=1e-04 | Loss: 1.2644e-05 | BC: 1.1004e-05 | PDE: 1.6394e-02 | Val: 1.4011e-05 | Test: 4.4444e-04 | LR=5.4e-04
Epoch  50/100 | Steps:  50000 | α=1e-04 | Loss: 1.1620e-05 | BC: 1.0074e-05 | PDE: 1.5456e-02 | Val: 1.3031e-06 | Test: 4.2836e-04 | LR=5.2e-04
Epoch  51/100 | Steps:  51000 | α=1e-04 | Loss: 8.7225e-06 | BC: 7.4263e-06 | PDE: 1.2962e-02 | Val: 5.8976e-06 | Test: 4.2027e-04 | LR=5.1e-04
Epoch  52/100 | Steps:  52000 | α=1e-04 | Loss: 1.0045e-05 | BC: 8.5910e-06 | PDE: 1.4539e-02 | Val: 2.3746e-06 | Test: 4.2933e-04 | LR=4.9e-04
Epoch  53/100 | Steps:  53000 | α=1e-04 | Loss: 8.8449e-06 | BC: 7.5833e-06 | PDE: 1.2616e-02 | Val: 4.1784e-06 | Test: 4.1958e-04 | LR=4.7e-04
Epoch  54/100 | Steps:  54000 | α=1e-04 | Loss: 8.1925e-06 | BC: 6.9880e-06 | PDE: 1.2045e-02 | Val: 1.5412e-05 | Test: 4.2787e-04 | LR=4.6e-04
Epoch  55/100 | Steps:  55000 | α=1e-04 | Loss: 8.2220e-06 | BC: 6.9436e-06 | PDE: 1.2784e-02 | Val: 1.0883e-06 | Test: 4.2815e-04 | LR=4.4e-04 *
Epoch  56/100 | Steps:  56000 | α=1e-04 | Loss: 6.6114e-06 | BC: 5.5279e-06 | PDE: 1.0835e-02 | Val: 1.5192e-06 | Test: 4.3291e-04 | LR=4.3e-04
Epoch  57/100 | Steps:  57000 | α=1e-04 | Loss: 7.2472e-06 | BC: 6.1712e-06 | PDE: 1.0760e-02 | Val: 1.2904e-06 | Test: 4.3454e-04 | LR=4.1e-04
Epoch  58/100 | Steps:  58000 | α=1e-04 | Loss: 6.4563e-06 | BC: 5.3693e-06 | PDE: 1.0870e-02 | Val: 4.7600e-05 | Test: 4.1732e-04 | LR=4.0e-04
Epoch  59/100 | Steps:  59000 | α=1e-04 | Loss: 5.8756e-06 | BC: 4.8738e-06 | PDE: 1.0018e-02 | Val: 1.1042e-05 | Test: 4.4394e-04 | LR=3.8e-04
Epoch  60/100 | Steps:  60000 | α=1e-04 | Loss: 5.2937e-06 | BC: 4.3366e-06 | PDE: 9.5713e-03 | Val: 3.3496e-06 | Test: 4.3625e-04 | LR=3.7e-04
Epoch  61/100 | Steps:  61000 | α=1e-04 | Loss: 5.5882e-06 | BC: 4.6226e-06 | PDE: 9.6558e-03 | Val: 6.3913e-07 | Test: 4.2003e-04 | LR=3.5e-04 *
Epoch  62/100 | Steps:  62000 | α=1e-04 | Loss: 4.7590e-06 | BC: 3.9049e-06 | PDE: 8.5410e-03 | Val: 6.2018e-06 | Test: 4.4138e-04 | LR=3.4e-04
Epoch  63/100 | Steps:  63000 | α=1e-04 | Loss: 4.4520e-06 | BC: 3.5776e-06 | PDE: 8.7442e-03 | Val: 1.2187e-06 | Test: 4.3214e-04 | LR=3.2e-04
Epoch  64/100 | Steps:  64000 | α=1e-04 | Loss: 3.5804e-06 | BC: 2.7763e-06 | PDE: 8.0408e-03 | Val: 1.9644e-06 | Test: 4.3034e-04 | LR=3.1e-04
Epoch  65/100 | Steps:  65000 | α=1e-04 | Loss: 3.6201e-06 | BC: 2.8580e-06 | PDE: 7.6211e-03 | Val: 4.1440e-06 | Test: 4.3523e-04 | LR=2.9e-04
Epoch  66/100 | Steps:  66000 | α=1e-04 | Loss: 3.7696e-06 | BC: 2.9787e-06 | PDE: 7.9083e-03 | Val: 1.3527e-06 | Test: 4.2676e-04 | LR=2.8e-04
Epoch  67/100 | Steps:  67000 | α=1e-04 | Loss: 3.0749e-06 | BC: 2.3347e-06 | PDE: 7.4018e-03 | Val: 5.8774e-07 | Test: 4.2580e-04 | LR=2.7e-04 *
Epoch  68/100 | Steps:  68000 | α=1e-04 | Loss: 3.1085e-06 | BC: 2.4230e-06 | PDE: 6.8551e-03 | Val: 9.2387e-07 | Test: 4.2722e-04 | LR=2.5e-04
Epoch  69/100 | Steps:  69000 | α=1e-04 | Loss: 2.4499e-06 | BC: 1.7762e-06 | PDE: 6.7366e-03 | Val: 8.3760e-07 | Test: 4.1965e-04 | LR=2.4e-04
Epoch  70/100 | Steps:  70000 | α=1e-04 | Loss: 2.7146e-06 | BC: 2.0429e-06 | PDE: 6.7172e-03 | Val: 7.5887e-07 | Test: 4.2897e-04 | LR=2.3e-04
Epoch  71/100 | Steps:  71000 | α=1e-04 | Loss: 2.1718e-06 | BC: 1.5186e-06 | PDE: 6.5318e-03 | Val: 8.5274e-07 | Test: 4.2684e-04 | LR=2.1e-04
Epoch  72/100 | Steps:  72000 | α=1e-04 | Loss: 2.0640e-06 | BC: 1.4396e-06 | PDE: 6.2443e-03 | Val: 4.2475e-06 | Test: 4.2360e-04 | LR=2.0e-04
Epoch  73/100 | Steps:  73000 | α=1e-04 | Loss: 1.8917e-06 | BC: 1.2869e-06 | PDE: 6.0484e-03 | Val: 8.8155e-07 | Test: 4.2148e-04 | LR=1.9e-04
Epoch  74/100 | Steps:  74000 | α=1e-04 | Loss: 1.7477e-06 | BC: 1.1629e-06 | PDE: 5.8473e-03 | Val: 8.1579e-07 | Test: 4.2187e-04 | LR=1.8e-04
Epoch  75/100 | Steps:  75000 | α=1e-04 | Loss: 1.6255e-06 | BC: 1.0687e-06 | PDE: 5.5685e-03 | Val: 6.0458e-07 | Test: 4.3096e-04 | LR=1.7e-04
Epoch  76/100 | Steps:  76000 | α=1e-04 | Loss: 1.5351e-06 | BC: 9.6381e-07 | PDE: 5.7132e-03 | Val: 1.0121e-06 | Test: 4.2121e-04 | LR=1.5e-04
Epoch  77/100 | Steps:  77000 | α=1e-04 | Loss: 1.3176e-06 | BC: 8.0975e-07 | PDE: 5.0787e-03 | Val: 8.2909e-07 | Test: 4.2363e-04 | LR=1.4e-04
Epoch  78/100 | Steps:  78000 | α=1e-04 | Loss: 1.4544e-06 | BC: 9.1025e-07 | PDE: 5.4412e-03 | Val: 3.5136e-07 | Test: 4.2772e-04 | LR=1.3e-04 *
