
============================================================
Running Example: absolute
============================================================

Generated full domain data:
  Boundary points: 40,000
  Interior points: 1,000,000
  Test points: 10,000
Re-sampling enabled: ~1,000,000 interior points per epoch

Splitting data: 80% train, 20% validation
  BC: 32,000 train, 8,000 val
  Interior: 800,000 train, 200,000 val

Model: DomainDecompositionPINN
  Hidden layers: [32, 32, 32, 32, 32]
  Activation: tanh
  η: 1e-05 (normalized)
  Residual clipping: [-10.0, 10.0]
  Outlier removal: top 2.0%
  Parameters: 17,412

Training configuration:
  Boundary points (train): 32,000 -> 80 batches of 400
  Interior points (train): 1,000,000 -> 1000 batches of 1000
  Interior sampling: RE-SAMPLE each epoch
  Boundary points (val): 8,000
  Validation loss: BC only
  Steps per epoch: 1,000
  Total steps: 100,000
  Epochs: 100
  Loss balancing: AlphaPlateauScheduler
  LR scheduler: cosine (LR: 1.0e-03 -> 1.0e-05)

/usr/local/lib/python3.12/dist-packages/torch/autograd/graph.py:824: UserWarning: Attempting to run cuBLAS, but there was no current CUDA context! Attempting to set the primary context... (Triggered internally at /opt/pytorch/pytorch/aten/src/ATen/cuda/CublasHandlePool.cpp:181.)
  return Variable._execution_engine.run_backward(  # Calls into the C++ engine to run the backward pass
Epoch  32/100 | Steps:  32000 | α=1e-04 | Loss: 1.4245e-04 | BC: 7.4604e-05 | PDE: 2.8603e-01 | Intf: 3.9244e-05 | Val: 3.5799e-05 | Test: 6.6353e-04 | LR=7.8e-04
Epoch  33/100 | Steps:  33000 | α=1e-04 | Loss: 1.5145e-04 | BC: 7.2857e-05 | PDE: 2.7820e-01 | Intf: 5.0774e-05 | Val: 4.0522e-05 | Test: 6.8939e-04 | LR=7.7e-04
Epoch  34/100 | Steps:  34000 | α=1e-04 | Loss: 1.7211e-04 | BC: 8.9812e-05 | PDE: 2.7241e-01 | Intf: 5.5054e-05 | Val: 1.8039e-04 | Test: 7.5337e-04 | LR=7.6e-04

>>> Alpha increased: 1e-04 → 1e-03 (BC=7.1176e-05) <<<
Epoch  35/100 | Steps:  35000 | α=1e-03 | Loss: 1.4860e-04 | BC: 7.1176e-05 | PDE: 2.6299e-01 | Intf: 5.1123e-05 | Val: 2.2063e-04 | Test: 7.8128e-04 | LR=7.4e-04 *
Epoch  36/100 | Steps:  36000 | α=1e-03 | Loss: 4.2030e-04 | BC: 1.2041e-04 | PDE: 2.0729e-01 | Intf: 9.2592e-05 | Val: 7.3133e-05 | Test: 5.1030e-04 | LR=7.3e-04 *
Epoch  37/100 | Steps:  37000 | α=1e-03 | Loss: 3.2462e-04 | BC: 9.6359e-05 | PDE: 1.5418e-01 | Intf: 7.4084e-05 | Val: 3.1211e-05 | Test: 3.7484e-04 | LR=7.2e-04 *
Epoch  38/100 | Steps:  38000 | α=1e-03 | Loss: 3.0257e-04 | BC: 9.8099e-05 | PDE: 1.2716e-01 | Intf: 7.7315e-05 | Val: 6.8301e-05 | Test: 3.3807e-04 | LR=7.0e-04
Epoch  39/100 | Steps:  39000 | α=1e-03 | Loss: 2.3926e-04 | BC: 6.9310e-05 | PDE: 1.0956e-01 | Intf: 6.0389e-05 | Val: 4.2663e-05 | Test: 2.5530e-04 | LR=6.9e-04
Epoch  40/100 | Steps:  40000 | α=1e-03 | Loss: 2.5352e-04 | BC: 8.8539e-05 | PDE: 9.6853e-02 | Intf: 6.8130e-05 | Val: 1.6001e-04 | Test: 3.4351e-04 | LR=6.7e-04
Epoch  41/100 | Steps:  41000 | α=1e-03 | Loss: 2.2671e-04 | BC: 7.1748e-05 | PDE: 8.7229e-02 | Intf: 6.7732e-05 | Val: 4.1159e-05 | Test: 2.1937e-04 | LR=6.6e-04
Epoch  42/100 | Steps:  42000 | α=1e-03 | Loss: 2.2595e-04 | BC: 7.8964e-05 | PDE: 8.0023e-02 | Intf: 6.6964e-05 | Val: 5.2907e-05 | Test: 2.0078e-04 | LR=6.4e-04
Epoch  43/100 | Steps:  43000 | α=1e-03 | Loss: 1.9448e-04 | BC: 6.0633e-05 | PDE: 7.4176e-02 | Intf: 5.9676e-05 | Val: 1.1477e-04 | Test: 2.6016e-04 | LR=6.3e-04

>>> Alpha increased: 1e-03 → 1e-02 (BC=6.3958e-05) <<<
Epoch  44/100 | Steps:  44000 | α=1e-02 | Loss: 1.9358e-04 | BC: 6.3958e-05 | PDE: 6.8683e-02 | Intf: 6.0942e-05 | Val: 1.0412e-04 | Test: 2.2717e-04 | LR=6.1e-04 *
Epoch  45/100 | Steps:  45000 | α=1e-02 | Loss: 6.7400e-04 | BC: 1.4416e-04 | PDE: 3.9775e-02 | Intf: 1.3209e-04 | Val: 1.0193e-04 | Test: 1.6080e-04 | LR=6.0e-04 *
Epoch  46/100 | Steps:  46000 | α=1e-02 | Loss: 4.5096e-04 | BC: 1.1092e-04 | PDE: 2.3474e-02 | Intf: 1.0530e-04 | Val: 2.7304e-04 | Test: 2.8204e-04 | LR=5.8e-04
Epoch  47/100 | Steps:  47000 | α=1e-02 | Loss: 3.8510e-04 | BC: 1.1014e-04 | PDE: 1.7233e-02 | Intf: 1.0263e-04 | Val: 5.2996e-04 | Test: 4.5531e-04 | LR=5.7e-04
Epoch  48/100 | Steps:  48000 | α=1e-02 | Loss: 3.4662e-04 | BC: 1.0586e-04 | PDE: 1.3654e-02 | Intf: 1.0422e-04 | Val: 1.2303e-04 | Test: 1.1480e-04 | LR=5.5e-04
Epoch  49/100 | Steps:  49000 | α=1e-02 | Loss: 3.0783e-04 | BC: 9.9468e-05 | PDE: 1.0604e-02 | Intf: 1.0232e-04 | Val: 4.3908e-05 | Test: 6.4812e-05 | LR=5.4e-04 *
Epoch  50/100 | Steps:  50000 | α=1e-02 | Loss: 2.5494e-04 | BC: 8.3456e-05 | PDE: 8.1943e-03 | Intf: 8.9540e-05 | Val: 1.2586e-04 | Test: 1.3107e-04 | LR=5.2e-04
Epoch  51/100 | Steps:  51000 | α=1e-02 | Loss: 2.3609e-04 | BC: 8.0173e-05 | PDE: 6.7797e-03 | Intf: 8.8124e-05 | Val: 1.4709e-04 | Test: 1.5040e-04 | LR=5.1e-04
Epoch  52/100 | Steps:  52000 | α=1e-02 | Loss: 2.0964e-04 | BC: 7.1615e-05 | PDE: 5.8646e-03 | Intf: 7.9382e-05 | Val: 1.9091e-04 | Test: 1.6032e-04 | LR=4.9e-04
Epoch  53/100 | Steps:  53000 | α=1e-02 | Loss: 1.9721e-04 | BC: 6.7664e-05 | PDE: 5.2846e-03 | Intf: 7.6695e-05 | Val: 1.4766e-04 | Test: 1.3073e-04 | LR=4.7e-04
Epoch  54/100 | Steps:  54000 | α=1e-02 | Loss: 1.8539e-04 | BC: 6.6673e-05 | PDE: 4.7584e-03 | Intf: 7.1135e-05 | Val: 1.3649e-04 | Test: 1.2272e-04 | LR=4.6e-04
Epoch  55/100 | Steps:  55000 | α=1e-02 | Loss: 1.6439e-04 | BC: 5.5848e-05 | PDE: 4.3710e-03 | Intf: 6.4829e-05 | Val: 9.6175e-05 | Test: 9.3130e-05 | LR=4.4e-04
Epoch  56/100 | Steps:  56000 | α=1e-02 | Loss: 1.5847e-04 | BC: 5.5648e-05 | PDE: 4.0064e-03 | Intf: 6.2755e-05 | Val: 1.1435e-04 | Test: 9.6100e-05 | LR=4.3e-04
Epoch  57/100 | Steps:  57000 | α=1e-02 | Loss: 1.4039e-04 | BC: 4.7948e-05 | PDE: 3.6391e-03 | Intf: 5.6050e-05 | Val: 8.9879e-05 | Test: 7.7465e-05 | LR=4.1e-04
Epoch  58/100 | Steps:  58000 | α=1e-02 | Loss: 1.2983e-04 | BC: 4.4157e-05 | PDE: 3.3497e-03 | Intf: 5.2173e-05 | Val: 1.0607e-04 | Test: 9.5510e-05 | LR=4.0e-04
Epoch  59/100 | Steps:  59000 | α=1e-02 | Loss: 1.2629e-04 | BC: 4.3487e-05 | PDE: 3.1288e-03 | Intf: 5.1510e-05 | Val: 1.0493e-04 | Test: 8.5569e-05 | LR=3.8e-04
Epoch  60/100 | Steps:  60000 | α=1e-02 | Loss: 1.1085e-04 | BC: 3.7175e-05 | PDE: 2.8926e-03 | Intf: 4.4748e-05 | Val: 7.7623e-05 | Test: 5.9695e-05 | LR=3.7e-04
Epoch  61/100 | Steps:  61000 | α=1e-02 | Loss: 1.0993e-04 | BC: 3.9114e-05 | PDE: 2.7319e-03 | Intf: 4.3494e-05 | Val: 6.9742e-05 | Test: 6.5310e-05 | LR=3.5e-04
Epoch  62/100 | Steps:  62000 | α=1e-02 | Loss: 9.3518e-05 | BC: 3.0861e-05 | PDE: 2.5453e-03 | Intf: 3.7204e-05 | Val: 2.6709e-05 | Test: 2.0211e-05 | LR=3.4e-04 *
Epoch  63/100 | Steps:  63000 | α=1e-02 | Loss: 9.1164e-05 | BC: 3.0351e-05 | PDE: 2.4058e-03 | Intf: 3.6755e-05 | Val: 4.9554e-05 | Test: 4.2964e-05 | LR=3.2e-04
Epoch  64/100 | Steps:  64000 | α=1e-02 | Loss: 7.9974e-05 | BC: 2.6089e-05 | PDE: 2.2533e-03 | Intf: 3.1353e-05 | Val: 6.0846e-05 | Test: 5.3813e-05 | LR=3.1e-04
Epoch  65/100 | Steps:  65000 | α=1e-02 | Loss: 7.7670e-05 | BC: 2.5266e-05 | PDE: 2.1395e-03 | Intf: 3.1009e-05 | Val: 8.4804e-05 | Test: 6.4631e-05 | LR=2.9e-04
Epoch  66/100 | Steps:  66000 | α=1e-02 | Loss: 7.4563e-05 | BC: 2.5503e-05 | PDE: 2.0307e-03 | Intf: 2.8754e-05 | Val: 2.4849e-05 | Test: 2.5706e-05 | LR=2.8e-04 *
Epoch  67/100 | Steps:  67000 | α=1e-02 | Loss: 6.2970e-05 | BC: 1.9503e-05 | PDE: 1.9171e-03 | Intf: 2.4297e-05 | Val: 2.5866e-05 | Test: 2.5395e-05 | LR=2.7e-04
Epoch  68/100 | Steps:  68000 | α=1e-02 | Loss: 5.8506e-05 | BC: 1.8080e-05 | PDE: 1.8112e-03 | Intf: 2.2313e-05 | Val: 3.2305e-05 | Test: 2.9702e-05 | LR=2.5e-04
Epoch  69/100 | Steps:  69000 | α=1e-02 | Loss: 5.2960e-05 | BC: 1.6356e-05 | PDE: 1.6900e-03 | Intf: 1.9703e-05 | Val: 7.9994e-05 | Test: 6.8678e-05 | LR=2.4e-04
Epoch  70/100 | Steps:  70000 | α=1e-02 | Loss: 5.1255e-05 | BC: 1.5808e-05 | PDE: 1.5998e-03 | Intf: 1.9450e-05 | Val: 4.2598e-05 | Test: 3.9987e-05 | LR=2.3e-04
Epoch  71/100 | Steps:  71000 | α=1e-02 | Loss: 4.4341e-05 | BC: 1.3502e-05 | PDE: 1.4698e-03 | Intf: 1.6141e-05 | Val: 2.9135e-05 | Test: 2.6094e-05 | LR=2.1e-04
Epoch  72/100 | Steps:  72000 | α=1e-02 | Loss: 4.5923e-05 | BC: 1.6570e-05 | PDE: 1.1755e-03 | Intf: 1.7598e-05 | Val: 5.8812e-05 | Test: 5.1190e-05 | LR=2.0e-04
Epoch  73/100 | Steps:  73000 | α=1e-02 | Loss: 3.8954e-05 | BC: 1.3211e-05 | PDE: 1.0384e-03 | Intf: 1.5359e-05 | Val: 2.1977e-05 | Test: 1.9311e-05 | LR=1.9e-04 *
Epoch  74/100 | Steps:  74000 | α=1e-02 | Loss: 3.3026e-05 | BC: 1.1434e-05 | PDE: 7.9972e-04 | Intf: 1.3595e-05 | Val: 3.0575e-06 | Test: 3.6530e-06 | LR=1.8e-04 *
Epoch  75/100 | Steps:  75000 | α=1e-02 | Loss: 2.6487e-05 | BC: 9.0073e-06 | PDE: 6.2639e-04 | Intf: 1.1216e-05 | Val: 2.5019e-06 | Test: 2.6258e-06 | LR=1.7e-04 *
Epoch  76/100 | Steps:  76000 | α=1e-02 | Loss: 2.3469e-05 | BC: 7.8789e-06 | PDE: 5.2412e-04 | Intf: 1.0349e-05 | Val: 1.3731e-05 | Test: 1.1756e-05 | LR=1.5e-04
Epoch  77/100 | Steps:  77000 | α=1e-02 | Loss: 2.0120e-05 | BC: 6.7708e-06 | PDE: 4.5689e-04 | Intf: 8.7803e-06 | Val: 1.3496e-05 | Test: 1.4303e-05 | LR=1.4e-04
Epoch  78/100 | Steps:  78000 | α=1e-02 | Loss: 1.7236e-05 | BC: 5.7202e-06 | PDE: 4.0729e-04 | Intf: 7.4434e-06 | Val: 1.2415e-05 | Test: 1.0480e-05 | LR=1.3e-04
Epoch  79/100 | Steps:  79000 | α=1e-02 | Loss: 1.5493e-05 | BC: 5.2663e-06 | PDE: 3.6552e-04 | Intf: 6.5710e-06 | Val: 8.5024e-06 | Test: 8.3417e-06 | LR=1.2e-04
Epoch  80/100 | Steps:  80000 | α=1e-02 | Loss: 1.2786e-05 | BC: 4.3550e-06 | PDE: 3.3126e-04 | Intf: 5.1186e-06 | Val: 1.3918e-06 | Test: 3.8374e-06 | LR=1.1e-04 *
Epoch  81/100 | Steps:  81000 | α=1e-02 | Loss: 1.2588e-05 | BC: 4.3281e-06 | PDE: 2.9688e-04 | Intf: 5.2911e-06 | Val: 4.2494e-05 | Test: 4.1731e-05 | LR=1.0e-04
Epoch  82/100 | Steps:  82000 | α=1e-02 | Loss: 1.0098e-05 | BC: 3.3610e-06 | PDE: 2.6973e-04 | Intf: 4.0400e-06 | Val: 1.8061e-05 | Test: 1.6958e-05 | LR=9.6e-05
Epoch  83/100 | Steps:  83000 | α=1e-02 | Loss: 9.4780e-06 | BC: 3.3395e-06 | PDE: 2.4354e-04 | Intf: 3.7031e-06 | Val: 3.4330e-07 | Test: 2.8119e-06 | LR=8.7e-05 *
Epoch  84/100 | Steps:  84000 | α=1e-02 | Loss: 7.1290e-06 | BC: 2.3354e-06 | PDE: 2.1953e-04 | Intf: 2.5983e-06 | Val: 1.0935e-06 | Test: 3.4868e-06 | LR=7.9e-05
Epoch  85/100 | Steps:  85000 | α=1e-02 | Loss: 6.0273e-06 | BC: 1.9133e-06 | PDE: 1.9678e-04 | Intf: 2.1463e-06 | Val: 4.7388e-06 | Test: 7.1971e-06 | LR=7.1e-05
Epoch  86/100 | Steps:  86000 | α=1e-02 | Loss: 5.6982e-06 | BC: 1.9474e-06 | PDE: 1.7700e-04 | Intf: 1.9808e-06 | Val: 2.8753e-07 | Test: 2.8615e-06 | LR=6.4e-05 *
Epoch  87/100 | Steps:  87000 | α=1e-02 | Loss: 4.4534e-06 | BC: 1.4047e-06 | PDE: 1.6155e-04 | Intf: 1.4332e-06 | Val: 8.5705e-07 | Test: 3.3205e-06 | LR=5.7e-05
Epoch  88/100 | Steps:  88000 | α=1e-02 | Loss: 4.3342e-06 | BC: 1.4403e-06 | PDE: 1.4745e-04 | Intf: 1.4195e-06 | Val: 1.5175e-06 | Test: 3.7241e-06 | LR=5.1e-05
Epoch  89/100 | Steps:  89000 | α=1e-02 | Loss: 2.9876e-06 | BC: 8.9061e-07 | PDE: 1.3617e-04 | Intf: 7.3529e-07 | Val: 3.1002e-06 | Test: 6.1160e-06 | LR=4.5e-05
Epoch  90/100 | Steps:  90000 | α=1e-02 | Loss: 2.9485e-06 | BC: 8.7589e-07 | PDE: 1.2526e-04 | Intf: 8.1999e-07 | Val: 8.7683e-07 | Test: 3.6841e-06 | LR=3.9e-05
Epoch  91/100 | Steps:  91000 | α=1e-02 | Loss: 2.3209e-06 | BC: 6.6834e-07 | PDE: 1.1544e-04 | Intf: 4.9815e-07 | Val: 3.4983e-06 | Test: 6.4662e-06 | LR=3.4e-05
Epoch  92/100 | Steps:  92000 | α=1e-02 | Loss: 2.2113e-06 | BC: 6.7257e-07 | PDE: 1.0667e-04 | Intf: 4.7207e-07 | Val: 7.1715e-07 | Test: 3.2343e-06 | LR=3.0e-05
Epoch  93/100 | Steps:  93000 | α=1e-02 | Loss: 1.8146e-06 | BC: 5.0086e-07 | PDE: 1.0015e-04 | Intf: 3.1225e-07 | Val: 7.9895e-07 | Test: 3.8787e-06 | LR=2.6e-05
Epoch  94/100 | Steps:  94000 | α=1e-02 | Loss: 1.6751e-06 | BC: 4.7338e-07 | PDE: 9.3441e-05 | Intf: 2.6731e-07 | Val: 2.0083e-06 | Test: 4.9588e-06 | LR=2.2e-05
Epoch  95/100 | Steps:  95000 | α=1e-02 | Loss: 1.4856e-06 | BC: 4.0264e-07 | PDE: 8.8679e-05 | Intf: 1.9613e-07 | Val: 1.6181e-06 | Test: 4.2992e-06 | LR=1.9e-05
Epoch  96/100 | Steps:  96000 | α=1e-02 | Loss: 1.3277e-06 | BC: 3.5669e-07 | PDE: 8.3532e-05 | Intf: 1.3573e-07 | Val: 3.2821e-07 | Test: 3.2515e-06 | LR=1.6e-05
Epoch  97/100 | Steps:  97000 | α=1e-02 | Loss: 1.2939e-06 | BC: 3.5505e-07 | PDE: 8.0000e-05 | Intf: 1.3889e-07 | Val: 2.7012e-07 | Test: 3.1295e-06 | LR=1.4e-05 *
