
============================================================
Running Example: aronsson_disc
============================================================

Generated full disc domain data:
  Boundary points: 10,000
  Interior points: 783,764
  Test points: 7,668
Re-sampling enabled: ~783,764 interior points per epoch

Splitting data: 80% train, 20% validation
  BC: 8,000 train, 2,000 val
  Interior: 627,011 train, 156,753 val

Model: InfinityLaplacianPINN
  Hidden layers: [128, 128, 128, 128]
  Activation: tanh
  η: 1e-05 (normalized)
  Residual clipping: [-10.0, 10.0]
  Parameters: 50,049

Training configuration:
  Boundary points (train): 8,000 -> 20 batches of 400
  Interior points (train): 783,764 -> 784 batches of 1000
  Interior sampling: RE-SAMPLE each epoch
  Boundary points (val): 2,000
  Validation loss: BC only
  Steps per epoch: 784
  Total steps: 78,400
  Epochs: 100
  Loss balancing: AlphaPlateauScheduler
  LR scheduler: cosine (LR: 1.0e-03 -> 1.0e-05)

/usr/local/lib/python3.12/dist-packages/torch/autograd/graph.py:824: UserWarning: Attempting to run cuBLAS, but there was no current CUDA context! Attempting to set the primary context... (Triggered internally at /opt/pytorch/pytorch/aten/src/ATen/cuda/CublasHandlePool.cpp:181.)
  return Variable._execution_engine.run_backward(  # Calls into the C++ engine to run the backward pass
Epoch  35/100 | Steps:  27440 | α=1e-04 | Loss: 5.2753e-05 | BC: 4.0085e-05 | PDE: 1.2668e-01 | Val: 4.9783e-06 | Test: 3.8049e-05 | LR=7.4e-04

>>> Alpha increased: 1e-04 → 1e-03 (BC=2.3879e-05) <<<
Epoch  36/100 | Steps:  28224 | α=1e-03 | Loss: 3.6349e-05 | BC: 2.3879e-05 | PDE: 1.2470e-01 | Val: 5.8665e-05 | Test: 3.6450e-05 | LR=7.3e-04 *
Epoch  37/100 | Steps:  29008 | α=1e-03 | Loss: 3.3733e-04 | BC: 1.6853e-04 | PDE: 1.6880e-01 | Val: 3.0312e-05 | Test: 6.6001e-05 | LR=7.2e-04 *
Epoch  38/100 | Steps:  29792 | α=1e-03 | Loss: 2.5403e-04 | BC: 1.1266e-04 | PDE: 1.4137e-01 | Val: 6.5590e-05 | Test: 1.3983e-04 | LR=7.0e-04
Epoch  39/100 | Steps:  30576 | α=1e-03 | Loss: 2.5848e-04 | BC: 1.0993e-04 | PDE: 1.4855e-01 | Val: 5.6264e-05 | Test: 1.0121e-03 | LR=6.9e-04
Epoch  40/100 | Steps:  31360 | α=1e-03 | Loss: 2.4419e-04 | BC: 9.7540e-05 | PDE: 1.4665e-01 | Val: 3.4533e-05 | Test: 1.2627e-04 | LR=6.7e-04
Epoch  41/100 | Steps:  32144 | α=1e-03 | Loss: 2.0233e-04 | BC: 9.0426e-05 | PDE: 1.1190e-01 | Val: 4.5950e-04 | Test: 5.8573e-04 | LR=6.6e-04
Epoch  42/100 | Steps:  32928 | α=1e-03 | Loss: 1.9731e-04 | BC: 7.5465e-05 | PDE: 1.2185e-01 | Val: 2.5580e-05 | Test: 4.6576e-05 | LR=6.4e-04 *
Epoch  43/100 | Steps:  33712 | α=1e-03 | Loss: 2.0401e-04 | BC: 7.8885e-05 | PDE: 1.2513e-01 | Val: 3.0582e-05 | Test: 2.7751e-04 | LR=6.3e-04
Epoch  44/100 | Steps:  34496 | α=1e-03 | Loss: 2.0329e-04 | BC: 7.7614e-05 | PDE: 1.2568e-01 | Val: 9.1522e-05 | Test: 4.5106e-05 | LR=6.1e-04
Epoch  45/100 | Steps:  35280 | α=1e-03 | Loss: 1.7968e-04 | BC: 7.2255e-05 | PDE: 1.0743e-01 | Val: 2.7999e-05 | Test: 3.0682e-05 | LR=6.0e-04
Epoch  46/100 | Steps:  36064 | α=1e-03 | Loss: 3.7433e-04 | BC: 1.9310e-04 | PDE: 1.8123e-01 | Val: 3.6166e-05 | Test: 1.5400e-03 | LR=5.8e-04

>>> Alpha increased: 1e-03 → 1e-02 (BC=1.0353e-04) <<<
Epoch  47/100 | Steps:  36848 | α=1e-02 | Loss: 2.5963e-04 | BC: 1.0353e-04 | PDE: 1.5611e-01 | Val: 2.0374e-05 | Test: 4.1983e-05 | LR=5.7e-04 *
Epoch  48/100 | Steps:  37632 | α=1e-02 | Loss: 2.2208e-03 | BC: 7.1391e-04 | PDE: 1.5069e-01 | Val: 8.9780e-04 | Test: 1.7165e-03 | LR=5.5e-04
Epoch  49/100 | Steps:  38416 | α=1e-02 | Loss: 1.8367e-03 | BC: 4.1128e-04 | PDE: 1.4255e-01 | Val: 1.7429e-04 | Test: 2.0468e-03 | LR=5.4e-04
Epoch  50/100 | Steps:  39200 | α=1e-02 | Loss: 1.5877e-03 | BC: 3.5251e-04 | PDE: 1.2352e-01 | Val: 2.4723e-04 | Test: 8.3702e-04 | LR=5.2e-04
Epoch  51/100 | Steps:  39984 | α=1e-02 | Loss: 1.2225e-03 | BC: 2.2035e-04 | PDE: 1.0021e-01 | Val: 1.6748e-04 | Test: 7.7474e-04 | LR=5.1e-04
Epoch  52/100 | Steps:  40768 | α=1e-02 | Loss: 1.1326e-03 | BC: 2.0633e-04 | PDE: 9.2626e-02 | Val: 1.3415e-04 | Test: 2.1202e-04 | LR=4.9e-04
Epoch  53/100 | Steps:  41552 | α=1e-02 | Loss: 1.0749e-03 | BC: 1.8954e-04 | PDE: 8.8539e-02 | Val: 1.1177e-04 | Test: 9.5548e-04 | LR=4.7e-04
Epoch  54/100 | Steps:  42336 | α=1e-02 | Loss: 1.0583e-03 | BC: 1.9910e-04 | PDE: 8.5920e-02 | Val: 4.1486e-05 | Test: 7.5833e-05 | LR=4.6e-04
Epoch  55/100 | Steps:  43120 | α=1e-02 | Loss: 1.0032e-03 | BC: 1.7343e-04 | PDE: 8.2974e-02 | Val: 1.1530e-04 | Test: 1.1789e-04 | LR=4.4e-04
Epoch  56/100 | Steps:  43904 | α=1e-02 | Loss: 1.0375e-03 | BC: 1.7914e-04 | PDE: 8.5836e-02 | Val: 1.5479e-04 | Test: 7.7309e-04 | LR=4.3e-04
Epoch  57/100 | Steps:  44688 | α=1e-02 | Loss: 8.1679e-04 | BC: 1.2912e-04 | PDE: 6.8768e-02 | Val: 5.6660e-05 | Test: 3.7223e-04 | LR=4.1e-04
Epoch  58/100 | Steps:  45472 | α=1e-02 | Loss: 8.7472e-04 | BC: 1.4105e-04 | PDE: 7.3367e-02 | Val: 1.0987e-04 | Test: 3.1485e-04 | LR=4.0e-04
Epoch  59/100 | Steps:  46256 | α=1e-02 | Loss: 9.7436e-04 | BC: 1.9626e-04 | PDE: 7.7810e-02 | Val: 1.7199e-04 | Test: 2.5879e-04 | LR=3.8e-04
Epoch  60/100 | Steps:  47040 | α=1e-02 | Loss: 9.9267e-04 | BC: 1.5962e-04 | PDE: 8.3305e-02 | Val: 1.7548e-04 | Test: 5.2815e-04 | LR=3.7e-04
Epoch  61/100 | Steps:  47824 | α=1e-02 | Loss: 7.1675e-04 | BC: 1.0300e-04 | PDE: 6.1375e-02 | Val: 7.7284e-05 | Test: 5.4556e-04 | LR=3.5e-04
Epoch  62/100 | Steps:  48608 | α=1e-02 | Loss: 6.7348e-04 | BC: 9.6363e-05 | PDE: 5.7711e-02 | Val: 2.1444e-04 | Test: 1.7556e-04 | LR=3.4e-04
Epoch  63/100 | Steps:  49392 | α=1e-02 | Loss: 6.9489e-04 | BC: 9.4821e-05 | PDE: 6.0007e-02 | Val: 2.2593e-04 | Test: 2.9974e-04 | LR=3.2e-04
Epoch  64/100 | Steps:  50176 | α=1e-02 | Loss: 6.9158e-04 | BC: 9.6006e-05 | PDE: 5.9557e-02 | Val: 6.0823e-05 | Test: 3.6307e-04 | LR=3.1e-04
Epoch  65/100 | Steps:  50960 | α=1e-02 | Loss: 5.9388e-04 | BC: 7.2739e-05 | PDE: 5.2114e-02 | Val: 5.5510e-05 | Test: 3.2145e-04 | LR=2.9e-04
Epoch  66/100 | Steps:  51744 | α=1e-02 | Loss: 6.3107e-04 | BC: 7.8796e-05 | PDE: 5.5228e-02 | Val: 3.5433e-05 | Test: 2.9400e-05 | LR=2.8e-04
Epoch  67/100 | Steps:  52528 | α=1e-02 | Loss: 5.1829e-04 | BC: 6.0122e-05 | PDE: 4.5817e-02 | Val: 3.7654e-05 | Test: 1.3228e-04 | LR=2.7e-04
Epoch  68/100 | Steps:  53312 | α=1e-02 | Loss: 5.5014e-04 | BC: 6.8189e-05 | PDE: 4.8195e-02 | Val: 1.9834e-05 | Test: 2.1435e-05 | LR=2.5e-04 *
Epoch  69/100 | Steps:  54096 | α=1e-02 | Loss: 5.7010e-04 | BC: 6.9471e-05 | PDE: 5.0063e-02 | Val: 5.2900e-05 | Test: 4.5558e-05 | LR=2.4e-04

>>> Alpha increased: 1e-02 → 1e-01 (BC=5.9596e-05) <<<
Epoch  70/100 | Steps:  54880 | α=1e-01 | Loss: 5.2235e-04 | BC: 5.9596e-05 | PDE: 4.6275e-02 | Val: 4.0625e-05 | Test: 1.0023e-04 | LR=2.3e-04 *
Epoch  71/100 | Steps:  55664 | α=1e-01 | Loss: 4.7919e-03 | BC: 2.8394e-04 | PDE: 4.5079e-02 | Val: 2.1437e-04 | Test: 2.8751e-04 | LR=2.1e-04
Epoch  72/100 | Steps:  56448 | α=1e-01 | Loss: 4.0840e-03 | BC: 2.0465e-04 | PDE: 3.8794e-02 | Val: 5.6519e-05 | Test: 4.0906e-05 | LR=2.0e-04
Epoch  73/100 | Steps:  57232 | α=1e-01 | Loss: 3.4307e-03 | BC: 1.4255e-04 | PDE: 3.2882e-02 | Val: 7.6183e-05 | Test: 1.4876e-04 | LR=1.9e-04
Epoch  74/100 | Steps:  58016 | α=1e-01 | Loss: 3.9134e-03 | BC: 1.4688e-04 | PDE: 3.7665e-02 | Val: 1.3050e-04 | Test: 2.2842e-04 | LR=1.8e-04
