
============================================================
Running Example: absolute
============================================================

Generated full domain data:
  Boundary points: 40,000
  Interior points: 1,000,000
  Test points: 10,000
Re-sampling enabled: ~1,000,000 interior points per epoch

Splitting data: 80% train, 20% validation
  BC: 32,000 train, 8,000 val
  Interior: 800,000 train, 200,000 val

Model: DomainDecompositionPINN
  Hidden layers: [32, 32, 32, 32]
  Activation: tanh
  η: 1e-05 (normalized)
  Residual clipping: [-10.0, 10.0]
  Outlier removal: top 2.0%
  Parameters: 13,188

Training configuration:
  Boundary points (train): 32,000 -> 80 batches of 400
  Interior points (train): 1,000,000 -> 1000 batches of 1000
  Interior sampling: RE-SAMPLE each epoch
  Boundary points (val): 8,000
  Validation loss: BC only
  Steps per epoch: 1,000
  Total steps: 100,000
  Epochs: 100
  Loss balancing: AlphaPlateauScheduler
  LR scheduler: None (constant LR=1.0e-03)

/usr/local/lib/python3.12/dist-packages/torch/autograd/graph.py:824: UserWarning: Attempting to run cuBLAS, but there was no current CUDA context! Attempting to set the primary context... (Triggered internally at /opt/pytorch/pytorch/aten/src/ATen/cuda/CublasHandlePool.cpp:181.)
  return Variable._execution_engine.run_backward(  # Calls into the C++ engine to run the backward pass
Epoch  46/100 | Steps:  46000 | α=1e-01 | Loss: 9.6835e-04 | BC: 3.5364e-04 | PDE: 3.9447e-03 | Intf: 2.2024e-04 | Val: 1.1389e-04 | Test: 1.0562e-04 |  *
Epoch  47/100 | Steps:  47000 | α=1e-01 | Loss: 6.6465e-04 | BC: 2.5829e-04 | PDE: 2.4067e-03 | Intf: 1.6569e-04 | Val: 4.5307e-04 | Test: 3.6093e-04 | 
Epoch  48/100 | Steps:  48000 | α=1e-01 | Loss: 1.0548e-03 | BC: 5.4333e-04 | PDE: 2.3149e-03 | Intf: 2.7998e-04 | Val: 5.6166e-04 | Test: 4.9016e-04 | 
Epoch  49/100 | Steps:  49000 | α=1e-01 | Loss: 6.8965e-04 | BC: 2.4427e-04 | PDE: 1.9875e-03 | Intf: 2.4663e-04 | Val: 2.9603e-04 | Test: 2.0832e-04 | 
Epoch  50/100 | Steps:  50000 | α=1e-01 | Loss: 6.8743e-04 | BC: 2.6625e-04 | PDE: 1.8248e-03 | Intf: 2.3870e-04 | Val: 4.5938e-04 | Test: 3.4806e-04 | 
Epoch  51/100 | Steps:  51000 | α=1e-01 | Loss: 6.2001e-04 | BC: 2.3023e-04 | PDE: 1.7126e-03 | Intf: 2.1851e-04 | Val: 1.4336e-04 | Test: 1.1813e-04 | 
Epoch  52/100 | Steps:  52000 | α=1e-01 | Loss: 7.7393e-04 | BC: 3.3576e-04 | PDE: 1.7478e-03 | Intf: 2.6339e-04 | Val: 4.4049e-04 | Test: 2.7171e-04 | 
Epoch  53/100 | Steps:  53000 | α=1e-01 | Loss: 6.0079e-04 | BC: 2.2192e-04 | PDE: 1.6545e-03 | Intf: 2.1341e-04 | Val: 4.1127e-04 | Test: 3.2387e-04 | 
Epoch  54/100 | Steps:  54000 | α=1e-01 | Loss: 6.6913e-04 | BC: 2.6394e-04 | PDE: 1.5911e-03 | Intf: 2.4609e-04 | Val: 1.9460e-04 | Test: 1.4512e-04 | 
Epoch  55/100 | Steps:  55000 | α=1e-01 | Loss: 6.0826e-04 | BC: 2.4912e-04 | PDE: 1.5717e-03 | Intf: 2.0197e-04 | Val: 1.3059e-04 | Test: 1.0287e-04 | 
Epoch  56/100 | Steps:  56000 | α=1e-01 | Loss: 6.2883e-04 | BC: 2.4042e-04 | PDE: 1.5854e-03 | Intf: 2.2987e-04 | Val: 3.6997e-04 | Test: 2.8951e-04 | 
Epoch  57/100 | Steps:  57000 | α=1e-01 | Loss: 5.8621e-04 | BC: 2.2115e-04 | PDE: 1.5042e-03 | Intf: 2.1464e-04 | Val: 1.6955e-04 | Test: 1.4112e-04 | 
Epoch  58/100 | Steps:  58000 | α=1e-01 | Loss: 6.1419e-04 | BC: 2.4030e-04 | PDE: 1.5285e-03 | Intf: 2.2104e-04 | Val: 4.8974e-04 | Test: 3.8791e-04 | 
Epoch  59/100 | Steps:  59000 | α=1e-01 | Loss: 6.0394e-04 | BC: 2.2757e-04 | PDE: 1.4643e-03 | Intf: 2.2994e-04 | Val: 6.4603e-04 | Test: 5.5921e-04 | 
Epoch  60/100 | Steps:  60000 | α=1e-01 | Loss: 5.9947e-04 | BC: 2.4139e-04 | PDE: 1.4838e-03 | Intf: 2.0971e-04 | Val: 2.0407e-04 | Test: 1.7035e-04 | 
Epoch  61/100 | Steps:  61000 | α=1e-01 | Loss: 5.7817e-04 | BC: 2.2524e-04 | PDE: 1.4508e-03 | Intf: 2.0785e-04 | Val: 1.1908e-03 | Test: 9.6641e-04 | 
Epoch  62/100 | Steps:  62000 | α=1e-01 | Loss: 5.6791e-04 | BC: 2.2493e-04 | PDE: 1.4629e-03 | Intf: 1.9668e-04 | Val: 1.2991e-03 | Test: 1.0701e-03 | 
Epoch  63/100 | Steps:  63000 | α=1e-01 | Loss: 6.0871e-04 | BC: 2.4011e-04 | PDE: 1.4617e-03 | Intf: 2.2243e-04 | Val: 3.8312e-05 | Test: 3.2128e-05 |  *
Epoch  64/100 | Steps:  64000 | α=1e-01 | Loss: 5.3843e-04 | BC: 2.0152e-04 | PDE: 1.4004e-03 | Intf: 1.9687e-04 | Val: 1.3302e-04 | Test: 1.1210e-04 | 
Epoch  65/100 | Steps:  65000 | α=1e-01 | Loss: 6.2999e-04 | BC: 2.6110e-04 | PDE: 1.4522e-03 | Intf: 2.2366e-04 | Val: 1.3135e-05 | Test: 1.2006e-05 |  *
Epoch  66/100 | Steps:  66000 | α=1e-01 | Loss: 5.3538e-04 | BC: 1.9501e-04 | PDE: 1.3580e-03 | Intf: 2.0457e-04 | Val: 3.5192e-05 | Test: 2.9603e-05 | 
Epoch  67/100 | Steps:  67000 | α=1e-01 | Loss: 5.2673e-04 | BC: 1.9553e-04 | PDE: 1.2994e-03 | Intf: 2.0125e-04 | Val: 6.2568e-04 | Test: 5.0977e-04 | 
Epoch  68/100 | Steps:  68000 | α=1e-01 | Loss: 6.0752e-04 | BC: 2.5393e-04 | PDE: 1.3946e-03 | Intf: 2.1412e-04 | Val: 5.8710e-06 | Test: 5.2147e-06 |  *
Epoch  69/100 | Steps:  69000 | α=1e-01 | Loss: 5.3398e-04 | BC: 2.0372e-04 | PDE: 1.3090e-03 | Intf: 1.9936e-04 | Val: 7.7298e-05 | Test: 5.8650e-05 | 
Epoch  70/100 | Steps:  70000 | α=1e-01 | Loss: 6.3464e-04 | BC: 2.5697e-04 | PDE: 1.3823e-03 | Intf: 2.3943e-04 | Val: 1.9781e-05 | Test: 1.6831e-05 | 
Epoch  71/100 | Steps:  71000 | α=1e-01 | Loss: 4.2295e-04 | BC: 1.4841e-04 | PDE: 1.2791e-03 | Intf: 1.4663e-04 | Val: 4.5632e-04 | Test: 2.9565e-04 | 
Epoch  72/100 | Steps:  72000 | α=1e-01 | Loss: 5.3595e-04 | BC: 2.0133e-04 | PDE: 1.2630e-03 | Intf: 2.0832e-04 | Val: 4.5253e-05 | Test: 2.9266e-05 | 
Epoch  73/100 | Steps:  73000 | α=1e-01 | Loss: 5.3074e-04 | BC: 2.0163e-04 | PDE: 1.3177e-03 | Intf: 1.9734e-04 | Val: 2.3328e-04 | Test: 1.4406e-04 | 
Epoch  74/100 | Steps:  74000 | α=1e-01 | Loss: 5.3522e-04 | BC: 2.0114e-04 | PDE: 1.2418e-03 | Intf: 2.0990e-04 | Val: 1.1583e-03 | Test: 9.6571e-04 | 
Epoch  75/100 | Steps:  75000 | α=1e-01 | Loss: 5.4778e-04 | BC: 2.2113e-04 | PDE: 1.3513e-03 | Intf: 1.9152e-04 | Val: 4.7297e-04 | Test: 3.9459e-04 | 
Epoch  76/100 | Steps:  76000 | α=1e-01 | Loss: 4.8664e-04 | BC: 1.7819e-04 | PDE: 1.2355e-03 | Intf: 1.8490e-04 | Val: 2.9607e-04 | Test: 2.4645e-04 | 
Epoch  77/100 | Steps:  77000 | α=1e-01 | Loss: 5.7090e-04 | BC: 2.3579e-04 | PDE: 1.3605e-03 | Intf: 1.9906e-04 | Val: 5.1633e-06 | Test: 4.2141e-06 |  *
Epoch  78/100 | Steps:  78000 | α=1e-01 | Loss: 4.6779e-04 | BC: 1.6453e-04 | PDE: 1.2815e-03 | Intf: 1.7511e-04 | Val: 6.1978e-04 | Test: 5.3946e-04 | 
Epoch  79/100 | Steps:  79000 | α=1e-01 | Loss: 5.3756e-04 | BC: 1.9765e-04 | PDE: 1.2774e-03 | Intf: 2.1217e-04 | Val: 4.2262e-04 | Test: 2.3675e-04 | 
