
============================================================
Running Example: absolute
============================================================

Generated full domain data:
  Boundary points: 40,000
  Interior points: 1,000,000
  Test points: 10,000
Re-sampling enabled: ~1,000,000 interior points per epoch

Splitting data: 80% train, 20% validation
  BC: 32,000 train, 8,000 val
  Interior: 800,000 train, 200,000 val

Model: DomainDecompositionPINN
  Hidden layers: [32, 32, 32, 32]
  Activation: tanh
  η: 1e-05 (normalized)
  Residual clipping: [-10.0, 10.0]
  Outlier removal: top 2.0%
  Parameters: 13,188

Training configuration:
  Boundary points (train): 32,000 -> 80 batches of 400
  Interior points (train): 1,000,000 -> 1000 batches of 1000
  Interior sampling: RE-SAMPLE each epoch
  Boundary points (val): 8,000
  Validation loss: BC only
  Steps per epoch: 1,000
  Total steps: 100,000
  Epochs: 100
  Loss balancing: ReLoBRaLo
  LR scheduler: cosine (LR: 1.0e-03 -> 1.0e-05)

/usr/local/lib/python3.12/dist-packages/torch/autograd/graph.py:824: UserWarning: Attempting to run cuBLAS, but there was no current CUDA context! Attempting to set the primary context... (Triggered internally at /opt/pytorch/pytorch/aten/src/ATen/cuda/CublasHandlePool.cpp:181.)
  return Variable._execution_engine.run_backward(  # Calls into the C++ engine to run the backward pass
Epoch  51/100 | Steps:  51000 | w_bc=0.97 w_pde=1.03 | Loss: 3.0369e-05 | BC: 1.1671e-05 | PDE: 6.8074e-06 | Intf: 1.1998e-05 | Val: 1.9567e-05 | Test: 1.0872e-05 | LR=5.1e-04
Epoch  52/100 | Steps:  52000 | w_bc=0.99 w_pde=1.01 | Loss: 2.5431e-05 | BC: 1.1104e-05 | PDE: 4.1299e-06 | Intf: 1.0285e-05 | Val: 1.1162e-04 | Test: 6.1272e-05 | LR=4.9e-04
Epoch  53/100 | Steps:  53000 | w_bc=0.97 w_pde=1.03 | Loss: 3.1835e-05 | BC: 1.2510e-05 | PDE: 5.3404e-06 | Intf: 1.4112e-05 | Val: 1.1417e-07 | Test: 5.7565e-07 | LR=4.7e-04 *
Epoch  54/100 | Steps:  54000 | w_bc=0.98 w_pde=1.02 | Loss: 2.1552e-05 | BC: 9.0062e-06 | PDE: 3.9903e-06 | Intf: 8.6960e-06 | Val: 3.1161e-06 | Test: 4.5624e-06 | LR=4.6e-04
Epoch  55/100 | Steps:  55000 | w_bc=1.01 w_pde=0.99 | Loss: 2.3342e-05 | BC: 1.1535e-05 | PDE: 4.0936e-06 | Intf: 7.8962e-06 | Val: 1.1877e-04 | Test: 6.3672e-05 | LR=4.4e-04
Epoch  56/100 | Steps:  56000 | w_bc=0.97 w_pde=1.03 | Loss: 2.3966e-05 | BC: 9.2701e-06 | PDE: 5.1624e-06 | Intf: 9.5749e-06 | Val: 3.1781e-07 | Test: 5.6775e-07 | LR=4.3e-04
Epoch  57/100 | Steps:  57000 | w_bc=0.97 w_pde=1.03 | Loss: 1.9969e-05 | BC: 8.1248e-06 | PDE: 3.8133e-06 | Intf: 8.2189e-06 | Val: 1.8068e-05 | Test: 1.0289e-05 | LR=4.1e-04
Epoch  58/100 | Steps:  58000 | w_bc=0.95 w_pde=1.05 | Loss: 1.9885e-05 | BC: 8.5555e-06 | PDE: 4.1585e-06 | Intf: 7.3464e-06 | Val: 4.7147e-05 | Test: 2.3625e-05 | LR=4.0e-04
Epoch  59/100 | Steps:  59000 | w_bc=0.96 w_pde=1.04 | Loss: 1.5954e-05 | BC: 7.1235e-06 | PDE: 3.8181e-06 | Intf: 5.1476e-06 | Val: 4.0165e-06 | Test: 1.9203e-06 | LR=3.8e-04
Epoch  60/100 | Steps:  60000 | w_bc=0.98 w_pde=1.02 | Loss: 1.8689e-05 | BC: 7.7918e-06 | PDE: 5.0802e-06 | Intf: 5.8811e-06 | Val: 1.3836e-05 | Test: 6.7566e-06 | LR=3.7e-04
Epoch  61/100 | Steps:  61000 | w_bc=1.00 w_pde=1.00 | Loss: 1.2912e-05 | BC: 5.7557e-06 | PDE: 2.7676e-06 | Intf: 4.4078e-06 | Val: 2.8136e-05 | Test: 1.5743e-05 | LR=3.5e-04
Epoch  62/100 | Steps:  62000 | w_bc=1.02 w_pde=0.98 | Loss: 1.7199e-05 | BC: 6.9274e-06 | PDE: 3.3380e-06 | Intf: 6.8958e-06 | Val: 3.5994e-05 | Test: 1.9016e-05 | LR=3.4e-04
Epoch  63/100 | Steps:  63000 | w_bc=1.02 w_pde=0.98 | Loss: 1.1757e-05 | BC: 6.1693e-06 | PDE: 2.3511e-06 | Intf: 3.2671e-06 | Val: 2.9658e-06 | Test: 2.0000e-06 | LR=3.2e-04
Epoch  64/100 | Steps:  64000 | w_bc=0.99 w_pde=1.01 | Loss: 1.1261e-05 | BC: 4.9480e-06 | PDE: 2.5493e-06 | Intf: 3.7440e-06 | Val: 4.3707e-06 | Test: 2.7784e-06 | LR=3.1e-04
Epoch  65/100 | Steps:  65000 | w_bc=0.97 w_pde=1.03 | Loss: 9.8216e-06 | BC: 3.7658e-06 | PDE: 2.1644e-06 | Intf: 3.9380e-06 | Val: 1.3759e-06 | Test: 1.1077e-06 | LR=2.9e-04
Epoch  66/100 | Steps:  66000 | w_bc=0.99 w_pde=1.01 | Loss: 9.1819e-06 | BC: 4.1007e-06 | PDE: 1.6460e-06 | Intf: 3.5068e-06 | Val: 5.1132e-06 | Test: 2.8138e-06 | LR=2.8e-04
Epoch  67/100 | Steps:  67000 | w_bc=0.97 w_pde=1.03 | Loss: 9.3481e-06 | BC: 3.7329e-06 | PDE: 1.9911e-06 | Intf: 3.6614e-06 | Val: 1.7042e-07 | Test: 4.9144e-07 | LR=2.7e-04
Epoch  68/100 | Steps:  68000 | w_bc=0.93 w_pde=1.07 | Loss: 5.1912e-06 | BC: 2.3532e-06 | PDE: 1.1986e-06 | Intf: 1.6937e-06 | Val: 1.5356e-06 | Test: 1.0540e-06 | LR=2.5e-04
Epoch  69/100 | Steps:  69000 | w_bc=0.92 w_pde=1.08 | Loss: 7.5183e-06 | BC: 3.2594e-06 | PDE: 1.7961e-06 | Intf: 2.5619e-06 | Val: 7.3298e-07 | Test: 6.0926e-07 | LR=2.4e-04
Epoch  70/100 | Steps:  70000 | w_bc=0.97 w_pde=1.03 | Loss: 5.7457e-06 | BC: 2.7058e-06 | PDE: 1.3563e-06 | Intf: 1.7855e-06 | Val: 1.4710e-06 | Test: 1.0193e-06 | LR=2.3e-04
Epoch  71/100 | Steps:  71000 | w_bc=0.94 w_pde=1.06 | Loss: 5.4433e-06 | BC: 2.0805e-06 | PDE: 1.3715e-06 | Intf: 2.0188e-06 | Val: 1.2329e-07 | Test: 2.8168e-07 | LR=2.1e-04
Epoch  72/100 | Steps:  72000 | w_bc=0.92 w_pde=1.08 | Loss: 4.9369e-06 | BC: 2.2766e-06 | PDE: 1.0955e-06 | Intf: 1.6405e-06 | Val: 8.7237e-08 | Test: 2.5799e-07 | LR=2.0e-04 *
Epoch  73/100 | Steps:  73000 | w_bc=0.93 w_pde=1.07 | Loss: 4.3894e-06 | BC: 1.9883e-06 | PDE: 1.0505e-06 | Intf: 1.4279e-06 | Val: 2.0213e-06 | Test: 1.1727e-06 | LR=1.9e-04
Epoch  74/100 | Steps:  74000 | w_bc=0.95 w_pde=1.05 | Loss: 3.6390e-06 | BC: 1.5195e-06 | PDE: 8.7809e-07 | Intf: 1.2852e-06 | Val: 4.6700e-06 | Test: 2.9004e-06 | LR=1.8e-04
Epoch  75/100 | Steps:  75000 | w_bc=0.97 w_pde=1.03 | Loss: 3.5607e-06 | BC: 1.7956e-06 | PDE: 8.3746e-07 | Intf: 9.8119e-07 | Val: 2.2252e-06 | Test: 1.3750e-06 | LR=1.7e-04
Epoch  76/100 | Steps:  76000 | w_bc=0.97 w_pde=1.03 | Loss: 2.7238e-06 | BC: 1.2882e-06 | PDE: 6.6533e-07 | Intf: 8.0175e-07 | Val: 2.1655e-06 | Test: 1.1748e-06 | LR=1.5e-04
Epoch  77/100 | Steps:  77000 | w_bc=0.94 w_pde=1.06 | Loss: 2.8053e-06 | BC: 1.2470e-06 | PDE: 7.4061e-07 | Intf: 8.5449e-07 | Val: 5.5411e-07 | Test: 4.9798e-07 | LR=1.4e-04
Epoch  78/100 | Steps:  78000 | w_bc=0.89 w_pde=1.11 | Loss: 1.6164e-06 | BC: 7.1812e-07 | PDE: 4.5863e-07 | Intf: 4.6378e-07 | Val: 2.3088e-07 | Test: 2.8833e-07 | LR=1.3e-04
Epoch  79/100 | Steps:  79000 | w_bc=0.89 w_pde=1.11 | Loss: 6.7691e-05 | BC: 3.9750e-05 | PDE: 4.6622e-06 | Intf: 2.7553e-05 | Val: 1.1846e-05 | Test: 1.1693e-05 | LR=1.2e-04
Epoch  80/100 | Steps:  80000 | w_bc=0.65 w_pde=1.35 | Loss: 3.7491e-07 | BC: 8.6623e-08 | PDE: 1.9099e-07 | Intf: 6.8159e-08 | Val: 2.4926e-08 | Test: 1.5758e-07 | LR=1.1e-04 *
Epoch  81/100 | Steps:  81000 | w_bc=0.57 w_pde=1.43 | Loss: 5.3735e-06 | BC: 2.2894e-06 | PDE: 6.3979e-07 | Intf: 3.1421e-06 | Val: 2.5390e-08 | Test: 1.7226e-07 | LR=1.0e-04
Epoch  82/100 | Steps:  82000 | w_bc=0.58 w_pde=1.42 | Loss: 7.1553e-06 | BC: 3.3188e-06 | PDE: 7.2327e-07 | Intf: 4.2599e-06 | Val: 1.0375e-04 | Test: 9.1386e-05 | LR=9.6e-05
Epoch  83/100 | Steps:  83000 | w_bc=0.68 w_pde=1.32 | Loss: 7.7127e-06 | BC: 3.5716e-06 | PDE: 5.9534e-07 | Intf: 4.5898e-06 | Val: 5.5464e-08 | Test: 2.2848e-07 | LR=8.7e-05
Epoch  84/100 | Steps:  84000 | w_bc=0.72 w_pde=1.28 | Loss: 4.8753e-06 | BC: 2.2497e-06 | PDE: 3.8209e-07 | Intf: 2.7931e-06 | Val: 3.6188e-08 | Test: 1.8786e-07 | LR=7.9e-05
Epoch  85/100 | Steps:  85000 | w_bc=0.62 w_pde=1.38 | Loss: 2.8716e-06 | BC: 1.2825e-06 | PDE: 3.3700e-07 | Intf: 1.5547e-06 | Val: 3.3282e-07 | Test: 4.2342e-07 | LR=7.1e-05
Epoch  86/100 | Steps:  86000 | w_bc=0.61 w_pde=1.39 | Loss: 5.4864e-06 | BC: 2.5365e-06 | PDE: 6.0117e-07 | Intf: 3.0897e-06 | Val: 5.0005e-08 | Test: 2.0891e-07 | LR=6.4e-05
Epoch  87/100 | Steps:  87000 | w_bc=0.54 w_pde=1.46 | Loss: 2.3556e-06 | BC: 1.0424e-06 | PDE: 3.4988e-07 | Intf: 1.2863e-06 | Val: 2.0041e-08 | Test: 1.6893e-07 | LR=5.7e-05 *
Epoch  88/100 | Steps:  88000 | w_bc=0.63 w_pde=1.37 | Loss: 1.8930e-06 | BC: 8.2938e-07 | PDE: 2.4242e-07 | Intf: 1.0662e-06 | Val: 1.1034e-06 | Test: 1.1356e-06 | LR=5.1e-05
Epoch  89/100 | Steps:  89000 | w_bc=0.64 w_pde=1.36 | Loss: 1.7679e-06 | BC: 7.7666e-07 | PDE: 2.3247e-07 | Intf: 9.6517e-07 | Val: 2.6894e-08 | Test: 1.5438e-07 | LR=4.5e-05
Epoch  90/100 | Steps:  90000 | w_bc=0.56 w_pde=1.44 | Loss: 1.1999e-06 | BC: 5.0746e-07 | PDE: 2.1566e-07 | Intf: 6.0248e-07 | Val: 1.9851e-08 | Test: 1.5879e-07 | LR=3.9e-05 *
Epoch  91/100 | Steps:  91000 | w_bc=0.58 w_pde=1.42 | Loss: 9.1450e-07 | BC: 3.6802e-07 | PDE: 1.8380e-07 | Intf: 4.4567e-07 | Val: 3.9978e-06 | Test: 3.7056e-06 | LR=3.4e-05
