
============================================================
Running Example: arctan
============================================================

Generated full domain data:
  Boundary points: 40,000
  Interior points: 1,000,000
  Test points: 10,000
Re-sampling enabled: ~1,000,000 interior points per epoch

Splitting data: 80% train, 20% validation
  BC: 32,000 train, 8,000 val
  Interior: 800,000 train, 200,000 val

Model: InfinityLaplacianPINN
  Hidden layers: [128, 128, 128, 128]
  Activation: tanh
  η: 1e-05 (normalized)
  Outlier removal: top 2.0%
  Parameters: 50,049

Training configuration:
  Boundary points (train): 32,000 -> 80 batches of 400
  Interior points (train): 1,000,000 -> 1000 batches of 1000
  Interior sampling: RE-SAMPLE each epoch
  Boundary points (val): 8,000
  Validation loss: BC only
  Steps per epoch: 1,000
  Total steps: 100,000
  Epochs: 100
  Loss balancing: AlphaPlateauScheduler
  LR scheduler: cosine (LR: 1.0e-03 -> 1.0e-05)

/usr/local/lib/python3.12/dist-packages/torch/autograd/graph.py:824: UserWarning: Attempting to run cuBLAS, but there was no current CUDA context! Attempting to set the primary context... (Triggered internally at /opt/pytorch/pytorch/aten/src/ATen/cuda/CublasHandlePool.cpp:181.)
  return Variable._execution_engine.run_backward(  # Calls into the C++ engine to run the backward pass
Epoch  35/100 | Steps:  35000 | α=1e-03 | Loss: 1.4900e-05 | BC: 1.2348e-05 | PDE: 2.5519e-03 | Val: 1.8196e-06 | Test: 1.9464e-06 | LR=7.4e-04
Epoch  36/100 | Steps:  36000 | α=1e-03 | Loss: 1.5303e-05 | BC: 1.2577e-05 | PDE: 2.7258e-03 | Val: 5.1908e-06 | Test: 5.9996e-06 | LR=7.3e-04
Epoch  37/100 | Steps:  37000 | α=1e-03 | Loss: 1.6588e-05 | BC: 1.2929e-05 | PDE: 3.6598e-03 | Val: 2.7063e-05 | Test: 2.8409e-05 | LR=7.2e-04
Epoch  38/100 | Steps:  38000 | α=1e-03 | Loss: 1.7106e-05 | BC: 1.2571e-05 | PDE: 4.5355e-03 | Val: 1.3682e-05 | Test: 7.8046e-06 | LR=7.0e-04
Epoch  39/100 | Steps:  39000 | α=1e-03 | Loss: 1.9304e-05 | BC: 1.5334e-05 | PDE: 3.9708e-03 | Val: 1.9948e-07 | Test: 6.7422e-07 | LR=6.9e-04 *
Epoch  40/100 | Steps:  40000 | α=1e-03 | Loss: 8.2995e-06 | BC: 6.5786e-06 | PDE: 1.7208e-03 | Val: 6.9801e-07 | Test: 9.1725e-07 | LR=6.7e-04
Epoch  41/100 | Steps:  41000 | α=1e-03 | Loss: 1.3594e-05 | BC: 1.0196e-05 | PDE: 3.3984e-03 | Val: 3.7096e-05 | Test: 4.0959e-05 | LR=6.6e-04
Epoch  42/100 | Steps:  42000 | α=1e-03 | Loss: 1.5350e-05 | BC: 1.1624e-05 | PDE: 3.7259e-03 | Val: 2.6372e-06 | Test: 1.9206e-06 | LR=6.4e-04
Epoch  43/100 | Steps:  43000 | α=1e-03 | Loss: 1.1140e-05 | BC: 8.6305e-06 | PDE: 2.5093e-03 | Val: 2.0482e-06 | Test: 3.0747e-06 | LR=6.3e-04
Epoch  44/100 | Steps:  44000 | α=1e-03 | Loss: 1.1258e-05 | BC: 8.7117e-06 | PDE: 2.5459e-03 | Val: 7.7116e-07 | Test: 1.0288e-06 | LR=6.1e-04

>>> Alpha increased: 1e-03 → 1e-02 (BC=8.4526e-06) <<<
Epoch  45/100 | Steps:  45000 | α=1e-02 | Loss: 1.0500e-05 | BC: 8.4526e-06 | PDE: 2.0469e-03 | Val: 2.5077e-06 | Test: 2.5338e-06 | LR=6.0e-04 *
Epoch  46/100 | Steps:  46000 | α=1e-02 | Loss: 7.0974e-04 | BC: 2.1949e-04 | PDE: 4.9025e-02 | Val: 1.8304e-06 | Test: 3.4506e-06 | LR=5.8e-04 *
Epoch  47/100 | Steps:  47000 | α=1e-02 | Loss: 1.2446e-05 | BC: 6.1067e-06 | PDE: 6.3392e-04 | Val: 1.3379e-06 | Test: 2.9480e-06 | LR=5.7e-04 *
Epoch  48/100 | Steps:  48000 | α=1e-02 | Loss: 4.0993e-05 | BC: 2.0571e-05 | PDE: 2.0421e-03 | Val: 1.6196e-04 | Test: 1.4432e-04 | LR=5.5e-04
Epoch  49/100 | Steps:  49000 | α=1e-02 | Loss: 3.2356e-05 | BC: 1.1462e-05 | PDE: 2.0894e-03 | Val: 3.8704e-07 | Test: 1.7066e-06 | LR=5.4e-04 *
Epoch  50/100 | Steps:  50000 | α=1e-02 | Loss: 2.6817e-05 | BC: 1.3601e-05 | PDE: 1.3217e-03 | Val: 4.7470e-06 | Test: 3.1270e-06 | LR=5.2e-04
Epoch  51/100 | Steps:  51000 | α=1e-02 | Loss: 4.4393e-05 | BC: 2.1694e-05 | PDE: 2.2698e-03 | Val: 4.2911e-05 | Test: 1.8634e-05 | LR=5.1e-04
Epoch  52/100 | Steps:  52000 | α=1e-02 | Loss: 3.2081e-05 | BC: 1.3345e-05 | PDE: 1.8737e-03 | Val: 5.2541e-07 | Test: 1.3014e-06 | LR=4.9e-04
Epoch  53/100 | Steps:  53000 | α=1e-02 | Loss: 1.3202e-05 | BC: 5.0366e-06 | PDE: 8.1657e-04 | Val: 3.4654e-07 | Test: 1.0253e-06 | LR=4.7e-04 *
Epoch  54/100 | Steps:  54000 | α=1e-02 | Loss: 5.1843e-05 | BC: 1.8474e-05 | PDE: 3.3370e-03 | Val: 4.5442e-07 | Test: 1.5885e-06 | LR=4.6e-04
Epoch  55/100 | Steps:  55000 | α=1e-02 | Loss: 2.1018e-05 | BC: 1.0280e-05 | PDE: 1.0739e-03 | Val: 1.0725e-05 | Test: 1.1069e-05 | LR=4.4e-04
