p,is_training_p,mse_exact,relative_l2_exact,max_abs_exact,boundary_mse,mse_limit,exact_to_limit_mse
105.0,1,9.040739712418144e-08,0.0007439753389917314,0.017616450786590576,1.4096069378410903e-07,1.9207254808861762e-05,1.9298449842608534e-05
106.0,0,9.050146587696872e-08,0.0007442868081852794,0.01762288808822632,1.410719931982385e-07,1.8844368241843767e-05,1.8934853869723156e-05
107.0,0,9.059233008201772e-08,0.0007445862866006792,0.017629265785217285,1.4120264779649006e-07,1.8491638911655173e-05,1.858144605648704e-05
108.0,0,9.067912998261818e-08,0.0007448700489476323,0.01763594150543213,1.413406778283388e-07,1.8149701645597816e-05,1.823780439735856e-05
109.0,0,9.07638408875755e-08,0.0007451464189216495,0.017642617225646973,1.4148000104796665e-07,1.7817488696891814e-05,1.7903765183291398e-05
110.0,1,9.084157426286765e-08,0.0007453952566720545,0.017649292945861816,1.4164206163513882e-07,1.7494950952823274e-05,1.7578544429852627e-05
111.0,0,9.092238428820565e-08,0.0007456578314304352,0.01765620708465576,1.4179383356349717e-07,1.7181095245177858e-05,1.726220034470316e-05
112.0,0,9.099830577952162e-08,0.0007459013722836971,0.017662882804870605,1.4196517383879836e-07,1.6876112567842938e-05,1.695435457804706e-05
113.0,0,9.107215959147652e-08,0.0007461374625563622,0.017669856548309326,1.4214320742667041e-07,1.6579459042986855e-05,1.6654677892802283e-05
114.0,0,9.114224042150454e-08,0.0007463591173291206,0.017676949501037598,1.4231935097086534e-07,1.6291593055939302e-05,1.6362993846996687e-05
115.0,1,9.121073674123181e-08,0.0007465753005817533,0.017683684825897217,1.4251331492687314e-07,1.6010799299692735e-05,1.607862395758275e-05
116.0,0,9.127792566232529e-08,0.0007467871182598174,0.017690658569335938,1.427067815029659e-07,1.5737698049633764e-05,1.5801806512172334e-05
117.0,0,9.134144107747488e-08,0.0007469847914762795,0.017697811126708984,1.4290316130427527e-07,1.5472101949853823e-05,1.553184301883448e-05
118.0,0,9.140348566916146e-08,0.0007471774588339031,0.017705142498016357,1.431048275435387e-07,1.5213770893751644e-05,1.5268984498106875e-05
